,MaxAFs,H,total_m,rec_errors
0,0.0076753606708833775,0.5758294630625815,10.0,0.23365344672938448
1,0.0019188401677208444,0.803192606595253,9.0,0.5853513271849184
2,0.0024873854026010943,0.8426936850379946,11.0,0.5099388760610353
3,0.0014213630872006253,0.7603305785123967,5.0,0.11723262681851132
4,0.00042640892616018763,0.9036860879904876,3.0,0.23365344672938448
5,0.00390874848980172,0.7228347782173219,9.0,0.10697420908276634
6,0.0022031127851609694,0.7247658688865766,7.0,0.0008118069076381573
7,0.0009238860066804065,0.8575206611570247,8.0,0.29741604599656846
8,0.0007106815436003127,0.9017857142857143,10.0,0.23365344672938448
9,0.004264089261601876,0.694861111111111,8.0,0.7124535452754124
10,0.004548361879042001,0.6054677264389903,6.0,0.0008118069076381573
11,0.04683391372326061,0.34789278397011447,11.0,0.23365344672938448
12,0.008670314831923815,0.3801775147928991,4.0,0.0008118069076381573
13,0.00042640892616018763,0.8888888888888888,5.0,0.0008118069076381573
14,0.00014213630872006254,0.8994082840236686,2.0,0.23365344672938448
15,0.0014213630872006253,0.8035371011149558,6.0,0.11723262681851132
16,0.0012081586241205315,0.81199538638985,5.0,0.11723262681851132
17,0.0004974770805202189,0.893061224489796,5.0,0.0008118069076381573
18,0.004264089261601876,0.4458655562165378,5.0,0.7663465532706155
19,0.0009949541610404379,0.8899891317473735,10.0,0.24462465851566328
20,0.0005685452348802502,0.8795013850415513,7.0,0.11723262681851132
21,0.0006396133892402814,0.9201827465735017,12.0,0.23365344672938448
22,0.006538270201122877,0.713571950328707,12.0,0.23365344672938448
23,0.00781749697960344,0.609787118700611,9.0,0.02694650399760068
24,0.0014213630872006253,0.875,10.0,0.02694650399760068
25,0.0017767038590007817,0.8654325382698469,12.0,0.23365344672938448
26,0.005472247885722408,0.6942148760330578,9.0,0.3827673731814878
27,0.005685452348802501,0.45433886036528903,6.0,0.0008118069076381573
28,0.003198066946201407,0.7513519028670543,8.0,0.0008118069076381573
29,0.0027005898656811884,0.7477333333333334,7.0,0.17264048236713858
30,0.0009238860066804065,0.8876577408433364,12.0,0.4681187003664071
31,0.0014924312415606567,0.7458677685950412,6.0,0.23365344672938448
32,0.037239712884656384,0.09854153539172439,6.0,0.6491139264521042
