,1,2,3
Population 268,23.0,,
Population 269,45.0,,
Population 270,5297.0,11.0,
Population 271,23.0,,
Population 272,7833.0,40.0,
Population 273,33.0,,
Population 274,40.0,,
Population 275,110.0,,
Population 276,287.0,1.0,
Population 277,11571.0,45.0,
Population 278,41.0,,
Population 279,31.0,,
Population 280,313.0,,
Population 281,6011.0,8.0,
Population 282,58.0,,
Population 283,60.0,,
Population 284,150.0,,
Population 285,150.0,,
Population 286,36.0,,
Population 287,38.0,,
Population 288,250.0,1.0,
Population 289,199.0,,
Population 290,51.0,,
Population 291,111.0,,
Population 292,792.0,335.0,
Population 293,37.0,,
Population 294,69.0,,
Population 295,31.0,,
Population 296,320.0,1.0,
Population 297,105.0,,
Population 298,46.0,,
Population 299,170.0,,
Population 300,96.0,,
Population 301,4827.0,3.0,
Population 302,80.0,1.0,
Population 303,9056.0,38.0,
Population 304,8879.0,21.0,
Population 305,43.0,,
Population 306,20.0,,
Population 307,41.0,,
Population 308,107.0,,
Population 309,28.0,,
Population 310,777.0,1.0,
Population 311,22.0,,
Population 312,28.0,,
Population 313,149.0,,
Population 314,1373.0,1.0,
Population 315,34.0,,
Population 316,22.0,,
Population 317,321.0,,
Population 318,69.0,,
Population 319,28.0,,
Population 320,69.0,,
Population 321,59.0,,
Population 322,96.0,,
Population 323,81.0,,
Population 324,51.0,,
Population 325,75.0,,
Population 326,32.0,,
Population 327,209.0,1.0,
Population 328,163.0,,
Population 329,66.0,1.0,
Population 330,56.0,,
Population 331,10652.0,34.0,
Population 332,157.0,,
Population 333,172.0,,
Population 334,40.0,,
Population 335,46.0,,
Population 336,21.0,,
Population 337,1553.0,4.0,
Population 338,661.0,2.0,
Population 339,24.0,,
Population 340,168.0,2.0,
Population 341,52.0,,
Population 342,3574.0,3.0,
Population 343,20.0,,
Population 344,442.0,18.0,
Population 345,486.0,,
Population 346,2837.0,,
Population 347,757.0,,
Population 348,9612.0,10.0,
Population 349,677.0,5.0,
Population 350,29.0,,
Population 351,212.0,1.0,
Population 352,985.0,5.0,
Population 353,574.0,2.0,
Population 354,65.0,,
Population 355,347.0,,
Population 356,42.0,,
Population 357,3291.0,12.0,
Population 358,26.0,,
Population 359,23.0,,
Population 360,26.0,,
Population 361,11784.0,53.0,
Population 362,22.0,,
Population 363,12222.0,14.0,
Population 364,17.0,,
Population 365,270.0,,
Population 366,18.0,,
Population 367,151.0,,
Population 368,28.0,,
Population 369,28.0,4.0,
Population 370,641.0,,
Population 371,189.0,,
Population 372,27.0,,
Population 373,22.0,,
Population 374,13871.0,88.0,
Population 375,220.0,1.0,
Population 376,5904.0,10.0,
Population 377,35.0,,
Population 378,23.0,,
Population 379,72.0,,
Population 380,533.0,,
Population 381,35.0,,
Population 382,336.0,1.0,
Population 383,15.0,,
Population 384,15.0,,
Population 385,162.0,,
Population 386,104.0,5.0,
Population 387,453.0,,
Population 388,48.0,,
Population 389,1385.0,1.0,
Population 390,89.0,1.0,
Population 391,13942.0,109.0,
Population 392,884.0,2.0,
Population 393,144.0,,
Population 394,34.0,,
Population 395,24.0,,
Population 396,40.0,,
Population 397,33.0,,
Population 398,148.0,,
Population 399,53.0,,
Population 400,358.0,1.0,
Population 401,17.0,,
Population 402,456.0,,
Population 403,126.0,1.0,
Population 404,24.0,,
Population 405,384.0,,
Population 406,10771.0,509.0,2.0
Population 407,32.0,,
Population 408,299.0,,
Population 409,9411.0,15.0,
Population 410,543.0,,
Population 411,186.0,,
Population 412,27.0,,
Population 413,32.0,,
Population 414,32.0,,
Population 415,815.0,,
Population 416,33.0,,
Population 417,26.0,,
Population 418,80.0,,
Population 419,69.0,,
Population 420,969.0,2.0,
Population 421,14.0,,
