,1,2,3
Population 210,18401.0,66.0,
Population 211,8757.0,5.0,
Population 212,8016.0,17.0,
Population 213,8153.0,26.0,
Population 214,12222.0,61.0,
Population 215,25107.0,236.0,
Population 216,7852.0,35.0,
Population 217,7877.0,20.0,
Population 218,17558.0,282.0,
Population 219,11358.0,56.0,
Population 220,8361.0,7.0,
Population 221,9023.0,14.0,
Population 222,7337.0,26.0,1.0
Population 223,8184.0,22.0,4.0
Population 224,9580.0,31.0,
Population 225,6721.0,16.0,
Population 226,8132.0,5.0,
Population 227,7841.0,5.0,
Population 228,17301.0,135.0,
Population 229,7502.0,6.0,
Population 230,32724.0,158.0,
Population 231,9190.0,16.0,
Population 232,8148.0,15.0,
Population 233,8779.0,31.0,
Population 234,51113.0,337.0,
Population 235,8363.0,27.0,
Population 236,7728.0,26.0,
Population 237,13893.0,79.0,
Population 238,9931.0,71.0,
Population 239,5968.0,13.0,
Population 240,13307.0,51.0,
Population 241,5562.0,24.0,
Population 242,38659.0,99.0,
Population 243,10976.0,20.0,
Population 244,30131.0,207.0,4.0
Population 245,8272.0,58.0,
Population 246,9735.0,17.0,
Population 247,16293.0,77.0,
Population 248,10705.0,204.0,
Population 249,6158.0,53.0,
Population 250,111255.0,1183.0,
Population 251,6383.0,23.0,
Population 252,18931.0,141.0,
Population 253,25431.0,145.0,
Population 254,11408.0,30.0,
Population 255,7070.0,31.0,
Population 256,8711.0,32.0,
Population 257,13552.0,28.0,
Population 258,9509.0,25.0,
Population 259,7700.0,10.0,
Population 260,7648.0,53.0,
Population 261,9325.0,31.0,
Population 262,24574.0,133.0,
Population 263,8709.0,31.0,
Population 264,8160.0,6.0,
Population 265,7259.0,32.0,
Population 266,29615.0,149.0,
Population 267,6823.0,55.0,
Population 268,14123.0,41.0,
Population 269,12785.0,19.0,
Population 270,20159.0,29.0,
Population 271,10308.0,147.0,
Population 272,8954.0,35.0,
Population 273,7871.0,8.0,
Population 274,54749.0,476.0,1.0
Population 275,49692.0,590.0,3.0
Population 276,10358.0,24.0,3.0
Population 277,8616.0,29.0,
Population 278,13123.0,124.0,
Population 279,7068.0,7.0,
Population 280,11414.0,28.0,
Population 281,7698.0,23.0,
Population 282,7839.0,13.0,
Population 283,10344.0,41.0,
Population 284,7985.0,37.0,
Population 285,13377.0,39.0,
Population 286,14834.0,70.0,
Population 287,6319.0,5.0,
Population 288,11701.0,51.0,
Population 289,7309.0,21.0,
Population 290,7657.0,9.0,
Population 291,7256.0,15.0,
Population 292,10111.0,43.0,
Population 293,9891.0,20.0,
Population 294,10881.0,32.0,
Population 295,9053.0,24.0,
Population 296,9842.0,35.0,
Population 297,8169.0,64.0,
Population 298,7037.0,31.0,
Population 299,9399.0,114.0,
Population 300,8931.0,21.0,
Population 301,16431.0,301.0,
Population 302,9783.0,28.0,
Population 303,8207.0,22.0,
Population 304,10606.0,47.0,
Population 305,8829.0,21.0,
Population 306,8276.0,27.0,
Population 307,10070.0,57.0,1.0
Population 308,11224.0,17.0,
Population 309,12504.0,70.0,
Population 310,12031.0,19.0,
Population 311,28882.0,135.0,1.0
Population 312,11990.0,154.0,
Population 313,14059.0,31.0,
Population 314,10222.0,39.0,
Population 315,38855.0,4143.0,
Population 316,10072.0,73.0,
Population 317,8532.0,22.0,
Population 318,8514.0,28.0,
Population 319,38710.0,1119.0,1.0
Population 320,17832.0,85.0,
Population 321,9170.0,4.0,
