,selection_0p15_MaxAFs,selection_0p15_H,selection_0p15_total_m,selection_0p15_rec_errors
0,0.290078,0.6998194882383957,1201.0,3.0344738215651397
1,0.021868,0.9270976694474357,1656.0,3.0344738215651397
2,0.015687,0.9449541931947405,1657.0,3.0344738215651397
3,0.163941,0.8428137731209133,1502.0,2.9723348361132302
4,0.219852,0.6457465797220063,1608.0,3.0344738215651397
5,0.021518,0.941813468848437,1664.0,3.0344738215651397
6,0.168544,0.6879067881771201,1509.0,3.0344738215651397
7,0.264275,0.4657828059682507,1432.0,2.968581067778759
8,0.903086,0.46126142225518507,1247.0,3.0344738215651397
9,0.061185,0.8422850619946876,1563.0,3.0344738215651397
10,0.332028,0.7345068907254726,1486.0,3.0344738215651397
11,0.836656,0.24311363441474565,1421.0,2.6891928568308607
12,0.568941,0.5793819464793845,1256.0,3.0141550118078584
13,0.051205,0.833231859164072,1553.0,3.0344738215651397
14,0.053809,0.8596228793086201,1643.0,3.0344738215651397
15,0.76403,0.2924604960707404,1142.0,3.0344738215651397
16,0.824428,0.1112181224410429,975.0,3.2689390752021623
17,0.598421,0.2679545010335854,1218.0,3.0344738215651397
18,0.154133,0.7544563967149904,1527.0,3.0883668295603393
19,0.065993,0.755488913970534,1565.0,3.0344738215651397
20,0.802293,0.10483895101113871,1411.0,3.0344738215651397
21,0.186775,0.595507257792629,1701.0,3.0344738215651397
22,0.145153,0.7540348372918912,1571.0,3.0344738215651397
23,0.356303,0.6051088569087278,1374.0,3.0344738215651397
24,0.780714,0.06050917847239168,1121.0,3.0597976773635693
25,0.044064,0.8491015786042704,1605.0,3.0344738215651397
26,0.17354,0.7659786670761624,1451.0,2.8553388957016566
27,0.204675,0.46662991998714753,1466.0,2.7857261743211215
28,0.501188,0.16622450938959576,1344.0,3.0344738215651397
29,0.092768,0.7601981304772751,1663.0,3.0222826191774192
30,0.777863,0.2603625226683517,1210.0,3.0344738215651397
31,0.92472,0.14434306216602533,1257.0,2.7378695824762076
32,0.043478,0.8662114110620742,1587.0,3.0344738215651397
33,0.723017,0.1331685806456273,1412.0,3.0344738215651397
34,0.04959,0.8415748743696158,1635.0,3.0344738215651397
35,0.006757,0.9653718069287449,1715.0,3.0344738215651397
36,0.069355,0.8871002788365482,1552.0,3.0344738215651397
37,0.360782,0.48899989471702565,1522.0,3.0344738215651397
38,0.883801,0.19546061495664113,1201.0,3.0344738215651397
39,0.055979,0.8307328323023774,1607.0,3.0344738215651397
40,0.049572,0.876313725306307,1666.0,3.0344738215651397
41,0.943002,0.03069707824150225,1346.0,2.7378695824762076
42,0.855136,0.34517144907505326,1442.0,2.7378695824762076
43,0.021097,0.941455733952717,1712.0,3.0344738215651397
44,0.05017,0.8795031743761789,1674.0,3.0344738215651397
45,0.061218,0.8935252330938067,1554.0,3.0344738215651397
46,0.898956,0.0632739737363135,1229.0,2.9723348361132302
47,0.816974,0.10237624302255621,1039.0,3.0359111413434796
48,0.158311,0.6153443593296433,1533.0,2.7796897581708357
49,0.196514,0.6821764037961864,1466.0,3.0344738215651397
50,0.036384,0.8883429236097639,1586.0,3.0344738215651397
51,0.045762,0.8792002245615023,1557.0,3.0344738215651397
52,0.506575,0.1859230774771703,1235.0,3.0597976773635693
53,0.748119,0.14122050149413667,1188.0,3.0344738215651397
54,0.213243,0.7183311446236111,1536.0,3.0344738215651397
55,0.998978,0.16048693091017696,1247.0,2.1417050615283664
