,1,2,3,4
Population 0,1743934.0,7167.0,,
Population 1,2964954.0,16173.0,,
Population 2,1485910.0,3445.0,,
Population 3,1674014.0,6263.0,,
Population 4,2128764.0,16041.0,,
Population 5,1214215.0,3138.0,,
Population 6,1936232.0,7472.0,,
Population 7,1129332.0,3560.0,,
Population 8,28153748.0,615208.0,2720.0,
Population 9,1360756.0,8629.0,,
Population 10,4227620.0,31910.0,,
Population 11,1822245.0,5719.0,,
Population 12,1618951.0,5868.0,,
Population 13,2231043.0,15190.0,,
Population 14,1172368.0,2997.0,,
Population 15,4305939.0,26266.0,,
Population 16,1066300.0,3066.0,,
Population 17,4963121.0,28509.0,,
Population 18,2132396.0,4461.0,,
Population 19,1163274.0,8478.0,,
Population 20,2828605.0,9356.0,,
Population 21,1331751.0,3328.0,,
Population 22,6179097.0,219447.0,683.0,
Population 23,1597832.0,10141.0,,
Population 24,1448047.0,2432.0,,
Population 25,4831164.0,52128.0,,
Population 26,1967259.0,17726.0,,
Population 27,1158833.0,7885.0,,
Population 28,1048418.0,2775.0,,
Population 29,2389333.0,22023.0,,
Population 30,3432701.0,14289.0,178.0,
Population 31,2635345.0,15738.0,,
Population 32,1191441.0,4865.0,,
Population 33,1919582.0,6332.0,,
Population 34,766432.0,4792.0,,
Population 35,1319835.0,32666.0,,
Population 36,1192823.0,4366.0,,
Population 37,1333229.0,5576.0,,
Population 38,968401.0,5545.0,,
Population 39,1718544.0,8547.0,,
Population 40,1931730.0,4090.0,,
Population 41,1677323.0,47175.0,340.0,
Population 42,1370937.0,4823.0,,
Population 43,1400439.0,4191.0,,
Population 44,2366925.0,15201.0,157.0,
Population 45,2494738.0,13324.0,,
Population 46,2190377.0,33204.0,,
Population 47,3190507.0,27941.0,,
Population 48,1488516.0,4812.0,,
Population 49,1178598.0,13627.0,,
Population 50,2439632.0,15890.0,129.0,
Population 51,1899359.0,8679.0,,
Population 52,947819.0,2105.0,,
Population 53,992640.0,1882.0,,
Population 54,2827455.0,27631.0,,
Population 55,5755889.0,46046.0,,
Population 56,1480525.0,5220.0,,
Population 57,4553127.0,11942.0,,
Population 58,1326859.0,5109.0,,
Population 59,3062079.0,59881.0,1481.0,
Population 60,1136143.0,1834.0,,
Population 61,7953552.0,57404.0,,
Population 62,2086515.0,5858.0,,
