,ref_MaxAFs,refSel_MaxAFs,ref_H,refSel_H
0,0.001441264141468016,0.23791645342349674,0.8093234105430474,0.2474020843720317
1,0.017593610255807905,0.512454799439555,0.6383726318037062,0.10394872668720145
2,0.008377909645622812,0.47437785930625154,0.6154975608644403,0.022678818416696722
3,0.00033080158257394794,0.04535936917576471,0.9130690171200578,0.625022709500029
4,0.0005027944343832288,0.13610627360407127,0.9052415400813918,0.5099178594426146
5,0.002180174198195693,0.03952539561352307,0.7934248216505783,0.5862308200410137
6,0.0017684700546661601,0.7630513809168238,0.7787770216520535,0.03542560691542662
7,0.0025247591800435557,0.022590392131716562,0.7762905110335776,0.600930128094894
8,0.0014286792986527026,0.01448035985459113,0.8602318253879254,0.6968300886671275
9,0.007343555421849924,0.047665991080342834,0.5900216707407802,0.6849707033290502
10,0.0019937986688831973,0.9344221819240907,0.6685338088477795,0.03747400577583071
11,0.004228507185945247,0.010508943029015854,0.7843228120487115,0.85670781626233
12,0.011042899931322715,0.02083330836340711,0.46399325019446047,0.4746066092662836
13,0.0017948382967553878,0.0021334304963102437,0.863446595159857,0.9157540991289195
14,0.0005998775075299309,0.10022928385053043,0.8838140479892866,0.24124174440107893
15,0.0016833725461054706,0.14655828520130354,0.8585418255673571,0.32470949936087323
16,0.00022113366661193258,0.4490487656666311,0.90907917902557,0.08954921221445844
17,0.027785535101523724,0.07528193044297449,0.21586840174728672,0.5432954648497459
18,0.001525163093570104,0.012053283025923577,0.8560433884362404,0.8327654981948204
19,0.017553458614444763,0.0030485283524523065,0.20859076981529623,0.8354682992063682
20,0.0007077475888040444,0.28412260273726325,0.8878899806407927,0.49485048915627905
21,0.0025487303092155806,0.010292603588238325,0.8168953375320274,0.8537393032650322
22,0.0014178922905252913,0.04708768758906773,0.8608447848009744,0.7438175260912804
23,0.0016198490537996037,0.035688217111311135,0.7900893761099921,0.7263945517303587
24,0.000852772920294797,0.903965663754574,0.8928555166950267,0.04457819263790863
25,0.0009636393927154135,0.0010169751551231696,0.7903031915063565,0.9221918105975346
26,0.008036920333150753,0.002490001042744119,0.6272710000686363,0.917105117948349
27,0.0011943615109961563,0.0346113141332579,0.8305524537865573,0.6131182552047436
28,0.002467228470030695,0.021872456813014404,0.8745656903939634,0.7477581252753254
29,0.0008204118959125629,0.002311416130412531,0.8712003737092453,0.9433145590810155
30,0.0024756183652409037,0.013580243954181583,0.8744981507660937,0.8317232759412414
31,0.004846962318583498,0.6519044462848945,0.7330148718104901,0.08701520503117699
32,0.014083637666794113,0.0036759726585300664,0.6022809099046421,0.936812736911164
