,neutral_MaxAFs,selection_MaxAFs,neutral_H,selection_H,neutral_total_m,selection_total_m,neutral_rec_errors,selection__rec_errors
0,0.0029009389364711836,0.9704405115082554,0.9371490548167014,0.24439079281715825,63244.0,58864.0,1.2291781635492285,3.94101470583362
1,0.0008762428850743501,0.6430131229736449,0.9801572198250292,0.5877281672190615,63407.0,58062.0,1.2431898157231096,4.2291781635492285
2,0.0016396189306915907,0.7185265539084731,0.9614877127980239,0.3545426869754239,63661.0,58000.0,1.2982173319433912,4.492063954733807
3,0.0028896848978284062,0.9132493685260122,0.9365579663931904,0.1426997757996109,63818.0,58527.0,1.2958232280397475,4.210049234295255
4,0.023348375973926437,0.19641789619974054,0.5408419335320076,0.8229374837584578,63350.0,55789.0,1.1562234003691323,4.417679555630876
5,0.0013546340269535257,0.871718692813,0.960248780080686,0.07326959859101878,62895.0,57797.0,1.2431898157231096,4.079432315751479
6,0.0006828452378024327,0.4328642773162815,0.9814782412420715,0.5396264869311872,63463.0,56668.0,1.2225482234270508,4.36481643663593
7,0.00043177708563817407,0.28087547005048175,0.9904301519602022,0.7519013365454111,63257.0,55611.0,1.239079544658587,4.4322969323828065
8,0.007051926658340797,0.44542132745303226,0.735522259307096,0.6111009402938643,63447.0,57274.0,1.2554671134511395,4.58937407334145
9,0.001443008298341506,0.47290093214968454,0.9642008337067657,0.6522561544716414,63621.0,54944.0,1.2909450321238722,4.570087259134203
10,0.00023906670790169334,0.8332140390919084,0.9930309860203018,0.6292030611686624,63163.0,56699.0,1.2298025494357017,4.31172676998078
11,0.001106624224221961,0.3794202996586238,0.97181797018255,0.7050992590104177,63111.0,56538.0,1.2320278594424021,4.442834075872613
12,0.009512368776942953,0.42231009383230833,0.6827470064848655,0.5090779394223797,63156.0,55672.0,1.1885468987236791,4.37976779740745
13,0.0037920955704645125,0.22761812902604103,0.8788509880263087,0.8470909159794007,63746.0,56746.0,1.2846103519926757,4.417316260598536
14,0.03161652916565298,0.877044310079623,0.5170503980995727,0.26607527709366197,63455.0,58344.0,1.2291697061559432,4.232775856555964
15,0.003510959376124894,0.6900792994785334,0.8945179590724508,0.4348168636347437,63943.0,58594.0,1.1974761214427865,4.297020279991569
16,0.0011155071829674816,0.9206153773620477,0.9718512185790718,0.19345287168911252,63265.0,60526.0,1.2304269353221748,3.594097280164764
17,0.000519163407068964,0.3193801495441809,0.9821179580809185,0.7496826799205687,63215.0,55251.0,1.271713408341494,4.274278417458845
18,0.0035503313296362297,0.9314617191255351,0.8916040101788336,0.23181869265143962,63463.0,59475.0,1.2357132179918047,3.758978152372494
19,0.0011075434472256076,0.8556229519743694,0.9631564822231133,0.2388168232530109,63361.0,58919.0,1.2707483515381863,4.036860370160177
20,0.0005644029242390919,0.13905743577657337,0.9821639561814427,0.8707698308969698,63282.0,55896.0,1.2901780160221037,4.359769456378549
21,0.01787987537088608,0.7141136219940409,0.557844878026336,0.713299188595874,63489.0,57001.0,1.2291781635492285,4.3037917749481664
22,0.0014650266960830628,0.29236272501924077,0.9542124382193052,0.766702088298028,63314.0,58157.0,1.1875269947185991,4.294197673982746
23,0.00029695198452385843,0.35481458984222325,0.9924249833839263,0.6970041044017452,63533.0,57306.0,1.3354621203329167,4.416451407320718
24,0.0014811947119042137,0.9066193394537377,0.9617317084236957,0.48898828252746807,63259.0,59574.0,1.200838403398052,3.6359306668661624
25,0.005995060748484461,0.6950697353927239,0.8434120861024617,0.3155153927602288,63519.0,58097.0,1.258022062526349,4.257098059927692
26,0.0009383205058626797,0.156995969602309,0.964339509041829,0.8572098961699239,63537.0,56061.0,1.2411346801908483,4.473349165890635
27,0.0017890571003031314,0.8877923551178045,0.9463487161017077,0.10582031730621233,63337.0,58010.0,1.2846103519926757,4.164789634529351
28,0.001058584083694928,0.5448385082825042,0.968050084346177,0.5309334145077547,63095.0,56858.0,1.2463304772632071,4.31172676998078
29,0.0074993734893869304,0.7642162669877888,0.8124662020327734,0.15782253990402395,63100.0,55460.0,1.2428274702973745,4.7189520943706835
30,0.004695846418694721,0.7980463452823074,0.846856992277914,0.10689615260673757,63406.0,55799.0,1.1865070907135191,4.709237245759523
31,0.04866004046625843,0.11283879026919463,0.3038215436266416,0.895333510503635,63726.0,55405.0,1.239079544658587,4.379655360289242
32,0.016196357098618462,0.2966403679256222,0.680830682263062,0.7749100700764651,63365.0,55325.0,1.2306294729359148,4.368873699471111
33,0.0012920495448828114,0.25691774372469867,0.9643611296514758,0.8116447379509715,63251.0,56310.0,1.247291141685757,4.3586476634158515
34,0.002670849686876134,0.4444430679962915,0.906355110280105,0.6697487600752562,63534.0,58127.0,1.2332726142707298,4.112288487262347
35,0.0019263391900066337,0.7660161056289291,0.942151299081091,0.4066914224186614,63255.0,58695.0,1.250282978707844,3.8742977020177634
36,0.0017504411432807758,0.7078984459950944,0.9609577246524605,0.4336363852645235,63410.0,58790.0,1.2878208443126269,4.06526206517767
37,0.006253130459040982,0.48495142168447236,0.827634707937557,0.6150794404225003,63315.0,56081.0,1.2846103519926757,4.5424734474998765
38,0.0035863442532931187,0.4675607619506486,0.8614699960448491,0.6884901306711778,63381.0,56798.0,1.2887912913155777,4.186507090713519
39,0.0009456227446766959,0.7813080417915202,0.9723556345447857,0.2694664857681387,63617.0,57961.0,1.317689623255518,4.3037917749481664
40,0.00203130242980622,0.9981921460779026,0.9325429543162019,0.3291789291891194,63285.0,60157.0,1.251975689280851,3.3117267699807797
41,0.0218253523199217,0.3125303316744737,0.47975969929384255,0.7724550504556484,63883.0,57477.0,1.271713408341494,4.239079544658587
42,0.11220093541335573,0.44033147800054084,0.11793036119140732,0.6981830285318078,63063.0,57479.0,1.2818453928550788,4.191991606078153
43,0.004648338912057652,0.5638689244009267,0.880951374095174,0.5053727502043803,63521.0,55346.0,1.2797843351785545,4.466709280000469
