,1,2,3,4,5
Population 157,108814.0,1025.0,1.0,,
Population 158,63562.0,765.0,10.0,,
Population 159,90857.0,10110.0,26.0,,
Population 160,147798.0,1904.0,3.0,,
Population 161,129812.0,2782.0,,,
Population 162,446710.0,6816.0,5.0,,
Population 163,337923.0,6390.0,13.0,,
Population 164,267424.0,5120.0,44.0,,
Population 165,897026.0,21481.0,2020.0,4.0,
Population 166,89978.0,589.0,,,
Population 167,257093.0,2263.0,,,
Population 168,57163.0,1945.0,11.0,,
Population 169,30393.0,473.0,3.0,,
Population 170,66827.0,2466.0,1.0,,
Population 171,246527.0,2243.0,9.0,,
Population 172,724447.0,29489.0,102.0,,
Population 173,483002.0,4591.0,14.0,,
Population 174,742915.0,9709.0,35.0,,
Population 175,616790.0,4782.0,9.0,,
Population 176,872165.0,13830.0,98.0,,
Population 177,540881.0,5569.0,27.0,,
Population 178,182987.0,2023.0,4.0,,
Population 179,295863.0,2849.0,,,
Population 180,303803.0,2701.0,5.0,,
Population 181,246849.0,3120.0,6.0,,
Population 182,366719.0,4599.0,11.0,,
Population 183,214234.0,3475.0,16.0,,
Population 184,60750.0,336.0,,,
Population 185,94613.0,841.0,,,
Population 186,108610.0,2659.0,6.0,,
Population 187,52162.0,483.0,,,
Population 188,271535.0,5282.0,8.0,,
Population 189,745946.0,9383.0,18.0,,
Population 190,111759.0,1669.0,102.0,,
Population 191,172690.0,3197.0,,,
Population 192,85444.0,3388.0,5.0,,
Population 193,829392.0,8592.0,7.0,,
Population 194,32000.0,1511.0,5.0,,
Population 195,215242.0,1843.0,2.0,,
Population 196,63815.0,2347.0,589.0,,
Population 197,301508.0,4793.0,6.0,,
Population 198,115287.0,919.0,1.0,,
Population 199,70198.0,479.0,,,
Population 200,561042.0,24580.0,31.0,,
Population 201,251449.0,6260.0,37.0,,
Population 202,35149.0,404.0,9.0,,
Population 203,83161.0,663.0,,,
Population 204,451838.0,7045.0,23.0,,
Population 205,594154.0,16003.0,408.0,,
Population 206,138402.0,1166.0,,,
Population 207,242186.0,19361.0,54.0,,
Population 208,61706.0,1191.0,,,
Population 209,75631.0,394.0,3.0,,
Population 210,194164.0,1760.0,9.0,,
Population 211,142833.0,3692.0,10.0,,
Population 212,83430.0,914.0,,,
Population 213,154392.0,3820.0,1.0,,
Population 214,89411.0,1903.0,8.0,,
Population 215,68421.0,1171.0,,,
Population 216,914619.0,10896.0,30.0,,
Population 217,730769.0,8316.0,92.0,,
Population 218,100331.0,1828.0,,,
Population 219,112390.0,1821.0,5.0,,
Population 220,90534.0,2212.0,2.0,,
Population 221,373213.0,13861.0,317.0,1.0,
Population 222,332861.0,31245.0,80.0,,
Population 223,253735.0,5779.0,11.0,,
Population 224,111072.0,4101.0,7.0,,
Population 225,794495.0,8893.0,9.0,,
Population 226,61078.0,1100.0,,,
Population 227,90872.0,563.0,22.0,,
Population 228,493395.0,31160.0,715.0,,
Population 229,100927.0,378.0,,,
Population 230,120717.0,1833.0,11.0,,
Population 231,170811.0,1403.0,3.0,,
Population 232,103506.0,641.0,,,
Population 233,395371.0,3434.0,4.0,,
Population 234,146422.0,2335.0,1.0,,
Population 235,798453.0,16150.0,58.0,,
Population 236,962008.0,29965.0,81.0,,
Population 237,42246.0,1838.0,4.0,,
Population 238,48961.0,399.0,,,
Population 239,69800.0,735.0,,,
Population 240,118479.0,865.0,,,
Population 241,142172.0,988.0,,,
Population 242,542802.0,4110.0,2.0,,
Population 243,89280.0,9726.0,18.0,,
Population 244,132691.0,1106.0,3.0,,
Population 245,99958.0,1567.0,,,
Population 246,148758.0,2503.0,8.0,,
Population 247,136650.0,2448.0,6.0,,
Population 248,579356.0,6095.0,21.0,,
Population 249,126816.0,981.0,1.0,,
Population 250,776578.0,21910.0,114.0,,
Population 251,465755.0,5678.0,10.0,,
Population 252,154061.0,5906.0,25.0,,
Population 253,86461.0,549.0,,,
Population 254,248364.0,3477.0,22.0,,
Population 255,488517.0,9953.0,21.0,,
Population 256,500470.0,32986.0,104.0,,
Population 257,628131.0,7245.0,13.0,,
Population 258,174732.0,4532.0,8.0,,
Population 259,65120.0,525.0,,,
Population 260,70569.0,241.0,,,
Population 261,682682.0,31515.0,204.0,,
Population 262,701271.0,36115.0,2487.0,6.0,
Population 263,131570.0,1994.0,6.0,,
Population 264,68592.0,741.0,1.0,,
Population 265,314448.0,31506.0,261.0,,
Population 266,52485.0,303.0,,,
Population 267,121186.0,418.0,,,
Population 268,22611.0,952153.0,6534.0,18.0,
Population 269,242566.0,5343.0,36.0,,
Population 270,907423.0,12021.0,99.0,,
Population 271,126069.0,2504.0,11.0,,
Population 272,131786.0,1643.0,3.0,,
Population 273,545696.0,9806.0,213.0,,
Population 274,71082.0,462.0,6.0,,
Population 275,158679.0,3644.0,2.0,,
Population 276,664321.0,9057.0,18.0,,
Population 277,129835.0,729.0,,,
Population 278,157201.0,707.0,1.0,,
Population 279,78771.0,439.0,,,
Population 280,261498.0,3398.0,,,
Population 281,154629.0,1585.0,1.0,,
Population 282,478745.0,13197.0,100.0,,
Population 283,90222.0,10403.0,51.0,,
Population 284,604348.0,11732.0,50.0,,
Population 285,343581.0,3042.0,21.0,,
Population 286,173988.0,15263.0,60.0,,
Population 287,142381.0,8658.0,60.0,,
Population 288,497652.0,9405.0,6.0,,
Population 289,100160.0,935.0,,,
Population 290,68786.0,208.0,,,
Population 291,63093.0,234.0,,,
Population 292,104771.0,9648.0,12.0,,
Population 293,46703.0,232.0,,,
Population 294,55431.0,317.0,,,
Population 295,840399.0,17328.0,55.0,,
Population 296,55175.0,472.0,,,
Population 297,78958.0,32650.0,169.0,,
Population 298,429881.0,6919.0,926.0,,
Population 299,90244.0,613.0,,,
Population 300,73008.0,1211.0,,,
Population 301,383981.0,2565.0,10.0,,
Population 302,675128.0,5227.0,20.0,,
Population 303,137341.0,679.0,2.0,,
Population 304,50984.0,447.0,,,
Population 305,307408.0,2352.0,2.0,,
Population 306,77015.0,574.0,2.0,,
Population 307,943003.0,21850.0,181.0,20.0,
Population 308,222677.0,1882.0,8.0,,
Population 309,307976.0,4241.0,4.0,,
Population 310,143832.0,924.0,,,
Population 311,570759.0,6808.0,13.0,,
Population 312,461079.0,6451.0,20.0,,
Population 313,235731.0,10277.0,13.0,,
Population 314,196852.0,3090.0,4.0,,
Population 315,120401.0,470.0,,,
Population 316,191617.0,1289.0,2.0,,
Population 317,192235.0,1332.0,7.0,,
Population 318,567718.0,24728.0,130.0,,
Population 319,63998.0,314.0,,,
Population 320,512811.0,4474.0,17.0,,
Population 321,362522.0,3803.0,5.0,,
Population 322,48803.0,523.0,,,
Population 323,300220.0,3937.0,11.0,,
Population 324,397136.0,3013.0,,,
Population 325,237836.0,1768.0,,,
Population 326,78361.0,396.0,,,
Population 327,736511.0,25132.0,167.0,,
Population 328,92377.0,620.0,,,
Population 329,77262.0,521.0,,,
Population 330,106021.0,2024.0,16.0,,
Population 331,280390.0,7385.0,44.0,,
Population 332,176504.0,2016.0,9.0,,
Population 333,353757.0,8431.0,7.0,,
Population 334,99819.0,735.0,6.0,,
Population 335,908446.0,11075.0,29.0,,
Population 336,89984.0,1663.0,8.0,,
Population 337,146736.0,1786.0,2.0,,
Population 338,744000.0,19149.0,55.0,,
Population 339,45898.0,679.0,,,
Population 340,80124.0,1844.0,6.0,,
Population 341,151447.0,1070.0,,,
Population 342,527233.0,14498.0,33.0,,
Population 343,583119.0,14926.0,61.0,,
Population 344,790473.0,27036.0,76.0,,
Population 345,108305.0,589.0,,,
Population 346,586343.0,191119.0,872.0,,
Population 347,121243.0,1973.0,8.0,,
Population 348,106918.0,7630.0,139.0,,
Population 349,373254.0,5237.0,25.0,,
Population 350,51467.0,949.0,,,
Population 351,714497.0,86116.0,2347.0,28.0,
Population 352,294009.0,4964.0,16.0,,
Population 353,55843.0,341.0,,,
Population 354,63645.0,730.0,,,
Population 355,281734.0,9538.0,1144.0,,
Population 356,49884.0,343.0,,,
Population 357,126982.0,2400.0,8.0,,
Population 358,531227.0,6528.0,56.0,,
Population 359,617322.0,267827.0,5915.0,52.0,
Population 360,59732.0,311.0,1.0,,
Population 361,156429.0,1737.0,2.0,,
Population 362,62307.0,2157.0,1.0,,
Population 363,231143.0,3599.0,12.0,,
Population 364,209392.0,4422.0,,,
Population 365,67914.0,1488.0,1.0,,
Population 366,114603.0,3046.0,5.0,,
Population 367,459690.0,32737.0,514.0,2.0,
Population 368,71655.0,495.0,1.0,,
Population 369,166848.0,1923.0,4.0,,
Population 370,237157.0,10370.0,25.0,,
Population 371,91162.0,2643.0,4.0,,
Population 372,164782.0,1732.0,,,
Population 373,241606.0,3206.0,44.0,,
Population 374,435600.0,36929.0,161.0,,
Population 375,73620.0,3397.0,244.0,,
Population 376,61927.0,305.0,1.0,,
Population 377,68384.0,323.0,,,
Population 378,174537.0,1130.0,2.0,,
Population 379,382263.0,5766.0,22.0,,
Population 380,958050.0,20686.0,108.0,,
Population 381,463022.0,10581.0,12.0,,
Population 382,149642.0,1373.0,180.0,,
Population 383,92530.0,627.0,,,
Population 384,86776.0,614.0,1.0,,
Population 385,331660.0,1662.0,,,
Population 386,65521.0,265.0,,,
Population 387,190512.0,4197.0,,,
Population 388,362218.0,3505.0,62.0,,
Population 389,95406.0,1615.0,7.0,,
Population 390,241842.0,573377.0,11211.0,8.0,
Population 391,117913.0,23578.0,113.0,,
Population 392,225095.0,128069.0,400.0,,
Population 393,300311.0,1305.0,4.0,,
Population 394,184738.0,2966.0,1890.0,3.0,
Population 395,123091.0,1413.0,4.0,,
Population 396,194549.0,64249.0,376.0,,
Population 397,862999.0,15347.0,272.0,,
Population 398,934963.0,23523.0,173.0,,
Population 399,547738.0,11277.0,24.0,,
