,1,2,3
Population 0,173.0,,
Population 1,69.0,,
Population 2,107.0,,
Population 3,44.0,,
Population 4,29.0,,
Population 5,109.0,,
Population 6,62.0,,
Population 7,55.0,,
Population 8,56.0,,
Population 9,120.0,,
Population 10,107.0,,
Population 11,819.0,2.0,
Population 12,156.0,,
Population 13,33.0,,
Population 14,13.0,,
Population 15,51.0,,
Population 16,51.0,,
Population 17,35.0,,
Population 18,82.0,,
Population 19,91.0,,
Population 20,38.0,,
Population 21,61.0,,
Population 22,185.0,,
Population 23,219.0,,
Population 24,92.0,,
Population 25,106.0,,
Population 26,165.0,,
Population 27,109.0,,
Population 28,99.0,,
Population 29,69.0,6.0,
Population 30,57.0,,
Population 31,44.0,,
Population 32,552.0,,
Population 33,30.0,,
Population 34,28.0,,
Population 35,46.0,,
Population 36,210.0,,
Population 37,47.0,1.0,
Population 38,383.0,,
Population 39,299.0,,
Population 40,60.0,,
Population 41,19.0,,
Population 42,109.0,,
Population 43,37.0,,
Population 44,37.0,,
Population 45,59.0,,
Population 46,186.0,,
Population 47,91.0,,
Population 48,56.0,,
Population 49,266.0,,
Population 50,92.0,,
Population 51,19.0,,
Population 52,55.0,,
Population 53,45.0,,
Population 54,142.0,,
Population 55,72.0,,
Population 56,1202.0,2.0,
Population 57,24.0,,
Population 58,44.0,,
Population 59,65.0,,
Population 60,18.0,,
Population 61,89.0,,
Population 62,107.0,,
Population 63,83.0,,
Population 64,85.0,,
Population 65,28.0,,
Population 66,23.0,,
Population 67,76.0,,
Population 68,289.0,,
Population 69,46.0,,
Population 70,2823.0,7.0,
Population 71,45.0,,
Population 72,41.0,,
Population 73,85.0,2.0,
Population 74,62.0,,
Population 75,60.0,,
Population 76,43.0,,
Population 77,45.0,,
Population 78,169.0,1.0,
Population 79,212.0,,
Population 80,582.0,,
Population 81,29.0,,
Population 82,85.0,2.0,
Population 83,144.0,,
Population 84,56.0,,
Population 85,34.0,,
Population 86,33.0,,
Population 87,50.0,,
Population 88,33.0,,
Population 89,77.0,,
Population 90,87.0,,
Population 91,34.0,,
Population 92,58.0,,
Population 93,37.0,,
Population 94,52.0,,
Population 95,774.0,,
Population 96,37.0,,
Population 97,37.0,,
Population 98,85.0,,
Population 99,74.0,1.0,
Population 100,66.0,,
Population 101,95.0,,
Population 102,81.0,,
Population 103,22.0,,
Population 104,46.0,,
Population 105,119.0,,
Population 106,381.0,1.0,
Population 107,36.0,,
Population 108,24.0,,
Population 109,263.0,,
Population 110,63.0,,
Population 111,125.0,,
Population 112,62.0,,
Population 113,70.0,,
Population 114,151.0,,
Population 115,201.0,,
Population 116,85.0,,
Population 117,43.0,,
Population 118,24.0,,
Population 119,58.0,,
Population 120,36.0,,
Population 121,55.0,,
Population 122,31.0,,
Population 123,45.0,,
Population 124,45.0,,
Population 125,62.0,,
Population 126,78.0,,
Population 127,522.0,,
Population 128,41.0,,
Population 129,45.0,,
Population 130,108.0,,
Population 131,213.0,,
Population 132,38.0,,
Population 133,42.0,,
Population 134,73.0,,
Population 135,33.0,,
Population 136,62.0,1.0,
Population 137,50.0,,
Population 138,131.0,,
Population 139,52.0,,
Population 140,140.0,2.0,
Population 141,110.0,,
Population 142,139.0,,
Population 143,74.0,,
Population 144,47.0,,
Population 145,151.0,,
Population 146,126.0,,
Population 147,137.0,,
Population 148,63.0,,
Population 149,34.0,,
Population 150,153.0,1.0,
Population 151,67.0,,
Population 152,74.0,,
Population 153,3404.0,35.0,
Population 154,142.0,,
Population 155,39.0,,
Population 156,16.0,,
Population 157,121.0,,
Population 158,34.0,,
Population 159,380.0,,
Population 160,536.0,1.0,
Population 161,257.0,1.0,
Population 162,169.0,,
Population 163,101.0,,
Population 164,197.0,,
Population 165,43.0,,
Population 166,79.0,,
Population 167,91.0,,
Population 168,29.0,,
Population 169,44.0,,
Population 170,140.0,,
Population 171,138.0,,
Population 172,52.0,,
Population 173,131.0,,
Population 174,67.0,,
Population 175,51.0,,
Population 176,30.0,,
Population 177,81.0,,
Population 178,32.0,,
Population 179,680.0,1.0,
Population 180,75.0,,
Population 181,128.0,,
Population 182,49.0,,
Population 183,26.0,,
Population 184,38.0,,
Population 185,36.0,,
Population 186,57.0,,
Population 187,134.0,,
Population 188,72.0,,
Population 189,83.0,,
Population 190,99.0,,
