,1,2
Population 306,37.0,
Population 307,2788.0,2.0
Population 308,65.0,
Population 309,36.0,
Population 310,119.0,
Population 311,37.0,
Population 312,77.0,
Population 313,57.0,
Population 314,101.0,
Population 315,50.0,
Population 316,88.0,
Population 317,138.0,
Population 318,75.0,
Population 319,67.0,
Population 320,123.0,1.0
Population 321,80.0,
Population 322,56.0,
Population 323,54.0,
Population 324,75.0,
Population 325,79.0,
Population 326,82.0,
Population 327,41.0,
Population 328,44.0,
Population 329,84.0,
Population 330,31.0,
Population 331,31.0,
Population 332,21.0,
Population 333,138.0,
Population 334,54.0,
Population 335,33.0,
Population 336,72.0,
Population 337,437.0,1.0
Population 338,141.0,1.0
Population 339,63.0,
Population 340,97.0,
Population 341,24.0,
Population 342,142.0,
Population 343,146.0,
Population 344,92.0,
Population 345,61.0,
Population 346,45.0,
Population 347,56.0,
Population 348,168.0,
Population 349,2728.0,7.0
Population 350,189.0,
Population 351,34.0,
Population 352,107.0,
Population 353,31.0,
Population 354,81.0,
Population 355,48.0,
Population 356,396.0,
Population 357,231.0,
Population 358,78.0,
Population 359,73.0,
Population 360,43.0,
Population 361,66.0,
Population 362,96.0,
Population 363,120.0,1.0
Population 364,1591.0,4.0
Population 365,391.0,
Population 366,86.0,
Population 367,78.0,
Population 368,20.0,
Population 369,65.0,
Population 370,25.0,
Population 371,82.0,
Population 372,246.0,
Population 373,66.0,
Population 374,33.0,
Population 375,82.0,
Population 376,91.0,
Population 377,249.0,
Population 378,150.0,
Population 379,29.0,
Population 380,59.0,
Population 381,199.0,1.0
Population 382,154.0,
Population 383,551.0,
Population 384,90.0,
Population 385,93.0,
Population 386,51.0,
Population 387,126.0,
Population 388,71.0,
Population 389,207.0,1.0
Population 390,107.0,
Population 391,209.0,
Population 392,756.0,
Population 393,437.0,
Population 394,30.0,
Population 395,27.0,
Population 396,69.0,
Population 397,19.0,
Population 398,124.0,
Population 399,136.0,
Population 400,20.0,
Population 401,49.0,
Population 402,18.0,
Population 403,199.0,
Population 404,244.0,1.0
Population 405,61.0,
Population 406,57.0,
Population 407,209.0,
Population 408,19.0,
Population 409,170.0,
Population 410,245.0,1.0
Population 411,36.0,
Population 412,45.0,
Population 413,51.0,
Population 414,535.0,3.0
Population 415,35.0,
Population 416,111.0,
Population 417,50.0,
Population 418,47.0,
Population 419,22.0,
Population 420,34.0,
Population 421,37.0,
Population 422,35.0,
Population 423,154.0,
Population 424,619.0,2.0
Population 425,14.0,
Population 426,393.0,20.0
Population 427,74.0,
Population 428,71.0,
Population 429,9349.0,99.0
Population 430,276.0,2.0
Population 431,163.0,1.0
Population 432,44.0,
Population 433,24.0,
Population 434,35.0,
Population 435,34.0,
Population 436,42.0,
Population 437,29.0,
Population 438,18.0,
Population 439,78.0,1.0
Population 440,47.0,
Population 441,53.0,
Population 442,29.0,
Population 443,71.0,
Population 444,43.0,
Population 445,39.0,
Population 446,74.0,
Population 447,146.0,
Population 448,25.0,
Population 449,25.0,
Population 450,239.0,
Population 451,64.0,
Population 452,261.0,1.0
Population 453,39.0,
Population 454,20.0,
Population 455,50.0,
Population 456,64.0,
Population 457,34.0,
Population 458,109.0,
Population 459,46.0,
Population 460,239.0,
Population 461,43.0,
Population 462,1240.0,
Population 463,29.0,
Population 464,101.0,
Population 465,49.0,
Population 466,63.0,
Population 467,96.0,
Population 468,7686.0,22.0
Population 469,95.0,
Population 470,3793.0,27.0
Population 471,199.0,
Population 472,42.0,
Population 473,172.0,
Population 474,130.0,
Population 475,66.0,
Population 476,55.0,
Population 477,431.0,3.0
Population 478,22.0,
Population 479,40.0,
Population 480,166.0,
Population 481,67.0,
Population 482,31.0,
Population 483,50.0,
Population 484,57.0,
Population 485,813.0,2.0
Population 486,151.0,1.0
Population 487,48.0,
Population 488,28.0,
Population 489,281.0,
Population 490,310.0,1.0
Population 491,43.0,
Population 492,31.0,
Population 493,48.0,
Population 494,52.0,
Population 495,114.0,
Population 496,100.0,
Population 497,134.0,
Population 498,49.0,
Population 499,322.0,1.0
Population 500,124.0,3.0
Population 501,41.0,
Population 502,101.0,
Population 503,103.0,1.0
Population 504,58.0,
Population 505,55.0,
Population 506,70.0,
Population 507,152.0,
Population 508,31.0,
Population 509,41.0,
Population 510,92.0,
Population 511,32.0,
Population 512,48.0,
Population 513,88.0,
Population 514,35.0,
Population 515,70.0,
Population 516,17.0,
Population 517,51.0,
Population 518,113.0,
Population 519,39.0,
Population 520,30.0,
Population 521,174.0,1.0
Population 522,45.0,1.0
Population 523,47.0,
Population 524,54.0,
Population 525,149.0,
Population 526,74.0,
Population 527,215.0,
Population 528,45.0,
Population 529,191.0,
Population 530,2725.0,26.0
Population 531,139.0,
Population 532,81.0,
Population 533,57.0,
Population 534,32.0,
Population 535,42.0,
Population 536,148.0,
Population 537,86.0,
Population 538,55.0,
Population 539,68.0,
Population 540,167.0,
Population 541,162.0,4.0
Population 542,29.0,
Population 543,85.0,
Population 544,85.0,
Population 545,38.0,
Population 546,47.0,
Population 547,77.0,
Population 548,201.0,
Population 549,38.0,
Population 550,42.0,
Population 551,100.0,3.0
Population 552,37.0,
Population 553,31.0,
Population 554,26.0,
Population 555,64.0,
Population 556,115.0,
Population 557,25.0,
Population 558,44.0,
Population 559,257.0,1.0
Population 560,33.0,
Population 561,36.0,
Population 562,63.0,
Population 563,524.0,
Population 564,662.0,1.0
Population 565,62.0,
Population 566,271.0,
Population 567,23.0,
Population 568,70.0,
Population 569,119.0,
Population 570,63.0,
Population 571,70.0,
Population 572,52.0,
Population 573,60.0,
Population 574,179.0,
Population 575,44.0,
Population 576,40.0,
Population 577,338.0,
Population 578,6428.0,19.0
Population 579,52.0,
Population 580,195.0,
Population 581,43.0,
Population 582,422.0,
Population 583,17.0,
Population 584,124.0,
Population 585,57.0,1.0
Population 586,37.0,
Population 587,459.0,2.0
Population 588,155.0,
Population 589,64.0,
Population 590,190.0,
Population 591,434.0,3.0
Population 592,124.0,
Population 593,58.0,
Population 594,92.0,
Population 595,31.0,
Population 596,5063.0,19.0
Population 597,162.0,
Population 598,100.0,
Population 599,62.0,
Population 600,829.0,
Population 601,72.0,
Population 602,45.0,
Population 603,528.0,
Population 604,84.0,
Population 605,52.0,
Population 606,36.0,
Population 607,262.0,
Population 608,983.0,1.0
Population 609,109.0,
Population 610,60.0,
Population 611,34.0,
Population 612,1045.0,
Population 613,75.0,
Population 614,27.0,
Population 615,444.0,2.0
Population 616,72.0,
Population 617,367.0,
Population 618,20.0,
Population 619,8968.0,33.0
Population 620,40.0,
Population 621,40.0,
Population 622,174.0,
Population 623,78.0,
Population 624,87.0,
Population 625,68.0,
Population 626,141.0,2.0
Population 627,57.0,
Population 628,500.0,2.0
Population 629,74.0,
Population 630,115.0,
Population 631,357.0,8.0
Population 632,46.0,
Population 633,52.0,
Population 634,166.0,
Population 635,121.0,
Population 636,93.0,
Population 637,76.0,
Population 638,1805.0,2.0
Population 639,173.0,
Population 640,295.0,1.0
Population 641,78.0,10.0
Population 642,39.0,
Population 643,25.0,
Population 644,33.0,
Population 645,10204.0,8.0
Population 646,57.0,
Population 647,59.0,
Population 648,243.0,2.0
Population 649,30.0,
Population 650,36.0,
Population 651,45.0,
Population 652,94.0,
Population 653,99.0,
Population 654,59.0,
Population 655,41.0,
Population 656,391.0,
Population 657,34.0,
Population 658,2377.0,1.0
Population 659,61.0,
Population 660,29.0,
Population 661,199.0,
Population 662,19.0,
Population 663,548.0,
Population 664,49.0,
Population 665,162.0,
Population 666,108.0,
Population 667,193.0,1.0
Population 668,49.0,
Population 669,83.0,
Population 670,339.0,
Population 671,76.0,
Population 672,55.0,
Population 673,34.0,
Population 674,498.0,1.0
Population 675,66.0,
Population 676,930.0,
Population 677,599.0,18.0
Population 678,50.0,
Population 679,196.0,
Population 680,41.0,
Population 681,24.0,
Population 682,167.0,1.0
Population 683,64.0,
Population 684,454.0,
Population 685,46.0,
Population 686,122.0,
Population 687,103.0,
Population 688,65.0,
Population 689,148.0,
Population 690,203.0,
Population 691,23.0,
Population 692,132.0,
Population 693,31.0,
Population 694,28.0,
Population 695,119.0,
Population 696,541.0,7.0
Population 697,40.0,
Population 698,43.0,
Population 699,184.0,
Population 700,35.0,
Population 701,48.0,
Population 702,67.0,
Population 703,85.0,
Population 704,153.0,
Population 705,59.0,
Population 706,311.0,2.0
Population 707,38.0,
Population 708,144.0,
Population 709,375.0,1.0
Population 710,51.0,
Population 711,165.0,
Population 712,54.0,
Population 713,216.0,
Population 714,29.0,
Population 715,31.0,
Population 716,300.0,1.0
Population 717,30.0,
Population 718,55.0,
Population 719,23.0,
Population 720,30.0,
Population 721,65.0,
Population 722,56.0,
Population 723,57.0,
Population 724,44.0,
Population 725,2311.0,7.0
Population 726,61.0,
Population 727,41.0,
Population 728,58.0,
Population 729,120.0,
Population 730,61.0,
Population 731,274.0,
Population 732,65.0,
Population 733,435.0,
Population 734,38.0,
Population 735,156.0,
Population 736,38.0,
Population 737,150.0,2.0
Population 738,132.0,
Population 739,372.0,
Population 740,47.0,1.0
Population 741,97.0,
Population 742,428.0,
Population 743,216.0,5.0
Population 744,50.0,
Population 745,66.0,
Population 746,81.0,
Population 747,83.0,
Population 748,75.0,
Population 749,41.0,
Population 750,32.0,
Population 751,192.0,
Population 752,51.0,
Population 753,37.0,
Population 754,69.0,
Population 755,51.0,
Population 756,55.0,
Population 757,37.0,
Population 758,374.0,
Population 759,84.0,1.0
Population 760,33.0,
Population 761,40.0,
Population 762,55.0,
Population 763,53.0,1.0
Population 764,1017.0,1.0
Population 765,171.0,2.0
Population 766,37.0,
Population 767,68.0,
Population 768,126.0,
Population 769,40.0,
Population 770,73.0,
Population 771,755.0,2.0
Population 772,61.0,
Population 773,44.0,
Population 774,23.0,
Population 775,510.0,
Population 776,357.0,2.0
Population 777,69.0,
Population 778,41.0,
Population 779,25.0,
Population 780,25.0,
Population 781,43.0,
Population 782,153.0,
Population 783,106.0,
Population 784,141.0,
Population 785,40.0,
Population 786,81.0,
Population 787,280.0,
Population 788,29.0,
Population 789,281.0,
Population 790,28.0,
Population 791,63.0,
Population 792,80.0,
Population 793,268.0,
Population 794,1386.0,8.0
Population 795,34.0,
Population 796,96.0,
Population 797,21.0,
Population 798,244.0,2.0
Population 799,41.0,
Population 800,30.0,
Population 801,10931.0,58.0
Population 802,55.0,
Population 803,77.0,
Population 804,28.0,
Population 805,54.0,
Population 806,55.0,
Population 807,54.0,
Population 808,33.0,
Population 809,98.0,
Population 810,42.0,
Population 811,53.0,
Population 812,67.0,
Population 813,48.0,
Population 814,284.0,
Population 815,25.0,
Population 816,625.0,
Population 817,319.0,2.0
Population 818,89.0,
Population 819,77.0,
Population 820,840.0,13.0
Population 821,326.0,1.0
Population 822,175.0,
Population 823,58.0,
Population 824,100.0,
Population 825,58.0,
Population 826,21.0,
Population 827,40.0,
Population 828,65.0,
Population 829,38.0,
Population 830,185.0,
Population 831,58.0,
Population 832,65.0,
Population 833,298.0,11.0
Population 834,41.0,
Population 835,130.0,
Population 836,181.0,
Population 837,12803.0,70.0
Population 838,11.0,
Population 839,53.0,
Population 840,42.0,
Population 841,129.0,1.0
Population 842,135.0,
Population 843,367.0,1.0
