,1,2,3,4,5
Population 0,80854832.0,975099.0,2458.0,,
Population 1,11216315.0,90825.0,1449.0,,
Population 2,9643571.0,176021.0,2491.0,,
Population 3,30868516.0,10105662.0,49952.0,,
Population 4,42958184.0,1422257.0,3834.0,,
Population 5,14755425.0,137378.0,,,
Population 6,34972565.0,999961.0,1088.0,,
Population 7,40692867.0,633172.0,1486.0,,
Population 8,72009900.0,33901478.0,256565.0,585.0,
Population 9,19192445.0,132475.0,148.0,,
Population 10,48106840.0,11576078.0,89519.0,,
Population 11,95983099.0,7324902.0,92417.0,112.0,
Population 12,71091360.0,27597094.0,202366.0,,
Population 13,20259807.0,201631.0,352.0,,
Population 14,20976734.0,308997.0,6859.0,,
Population 15,101710907.0,1969945.0,50099.0,,
Population 16,97151483.0,2063075.0,8956.0,,
Population 17,78275871.0,1398660.0,259.0,,
Population 18,33080551.0,7457357.0,35959.0,,
Population 19,16410071.0,66489.0,,,
Population 20,91598378.0,3229230.0,7487.0,,
Population 21,33788792.0,465898.0,108.0,,
Population 22,35890029.0,225037.0,6391.0,,
Population 23,30443142.0,39821340.0,383038.0,248.0,
Population 24,91996984.0,675761.0,2241.0,,
Population 25,17901136.0,402790.0,547.0,,
Population 26,43151331.0,567554.0,492.0,,
Population 27,32034098.0,763614.0,2736.0,,
Population 28,60328030.0,1594840.0,1117.0,,
Population 29,28964407.0,761841.0,6444.0,,
Population 30,96896358.0,5966122.0,20412.0,,
Population 31,103277381.0,6044419.0,25191.0,,
Population 32,23468400.0,205203.0,589.0,,
Population 33,85040469.0,2404699.0,11657.0,,
Population 34,18824039.0,164582.0,592.0,,
Population 35,7897820.0,55032.0,,,
Population 36,33057650.0,492007.0,174.0,,
Population 37,41346052.0,7684522.0,23372.0,265.0,
Population 38,107111083.0,3387469.0,33933.0,,
Population 39,16865581.0,89873.0,326.0,,
Population 40,17972114.0,2464125.0,48909.0,,
Population 41,108613102.0,1168879.0,1448.0,,
Population 42,89475762.0,14092743.0,1022892.0,3871.0,
Population 43,22068043.0,200281.0,9904.0,,
Population 44,19459819.0,160280.0,,,
Population 45,24920861.0,918355.0,1326.0,,
Population 46,104832550.0,1434220.0,6624.0,,
Population 47,94900699.0,2511187.0,7282.0,,
Population 48,31306010.0,174527.0,,,
Population 49,41866161.0,382031.0,245.0,,
Population 50,16078979.0,143965.0,,,
Population 51,25043188.0,140840.0,1471.0,,
Population 52,5827349.0,58148325.0,484286.0,781.0,
Population 53,91641876.0,966235.0,9621.0,,
Population 54,47486052.0,1190492.0,2510.0,,
Population 55,106038072.0,9169628.0,533576.0,2691.0,
Population 56,27691399.0,699614.0,601.0,,
Population 57,37117515.0,305834.0,,,
Population 58,54825020.0,1621883.0,10753.0,,
Population 59,34944709.0,666965.0,14250.0,,
Population 60,11174270.0,410303.0,930.0,,
Population 61,72273362.0,1509453.0,3614.0,,
Population 62,73369187.0,4130087.0,75393.0,165.0,
Population 63,29344143.0,2894590.0,7089.0,,
Population 64,31386139.0,1017852.0,562.0,,
Population 65,29034759.0,230346.0,,,
Population 66,24606827.0,244367.0,438.0,,
Population 67,48995237.0,978896.0,1374.0,,
Population 68,53018284.0,633092.0,10420.0,,
Population 69,16031308.0,332340.0,110.0,,
Population 70,38498226.0,1796288.0,87267.0,,
Population 71,38587936.0,1019399.0,2319.0,,
Population 72,80339019.0,4941210.0,56136.0,,
Population 73,16569279.0,151979.0,117.0,,
Population 74,10421312.0,64306.0,125.0,,
Population 75,15679192.0,149722.0,212.0,,
Population 76,69811395.0,13409372.0,37900.0,,
Population 77,85925484.0,2142757.0,14977.0,,
Population 78,17064139.0,233988.0,353.0,,
Population 79,34066995.0,842851.0,8946.0,,
Population 80,24400314.0,462626.0,2920.0,,
Population 81,71113262.0,19631639.0,129795.0,,
Population 82,104130718.0,3138313.0,30525.0,137.0,
Population 83,107592401.0,1178638.0,4896.0,,
Population 84,49925763.0,4841816.0,34056.0,,
Population 85,98002514.0,1445561.0,6961.0,,
Population 86,68042559.0,1405945.0,5171.0,,
Population 87,46834508.0,633715.0,512.0,,
Population 88,14645933.0,128875.0,,,
Population 89,23714560.0,809422.0,731.0,,
Population 90,79654943.0,448283.0,265.0,,
Population 91,16753437.0,1253743.0,1267.0,,
Population 92,10842838.0,2572985.0,57110.0,1435.0,
Population 93,62374477.0,501627.0,1817.0,,
Population 94,31007290.0,692053.0,18425.0,,
Population 95,97291131.0,18258427.0,111430.0,112.0,
Population 96,104750862.0,970920.0,1641.0,,
Population 97,69455863.0,1920566.0,3144.0,,
Population 98,104240576.0,11190363.0,208388.0,997.0,
Population 99,5915284.0,45729.0,433.0,,
Population 100,69156678.0,3315725.0,18664.0,,
Population 101,21319077.0,892990.0,17355.0,,
Population 102,78999118.0,1219063.0,1371.0,,
Population 103,95060018.0,3588928.0,17096.0,,
Population 104,25922508.0,1064140.0,6145.0,,
Population 105,86482343.0,6574768.0,29230.0,,
Population 106,61027404.0,2848645.0,34039.0,,
Population 107,21324811.0,511977.0,1410.0,,
Population 108,50769842.0,929077.0,3155.0,,
Population 109,83376324.0,2062628.0,17251.0,214.0,
Population 110,17767409.0,114007.0,,,
Population 111,38886219.0,286782.0,1306.0,,
Population 112,17892508.0,289539.0,129.0,,
Population 113,20397590.0,278061.0,712.0,,
Population 114,44068141.0,631778.0,4682.0,,
Population 115,12682978.0,166198.0,1958.0,,
Population 116,67590466.0,497882.0,465.0,,
Population 117,36601785.0,382791.0,654.0,,
Population 118,32611648.0,530142.0,942.0,,
Population 119,47383837.0,1722469.0,3950.0,,
Population 120,17581626.0,20216824.0,148878.0,731.0,
Population 121,111180600.0,2565224.0,32720.0,,
Population 122,21651355.0,993309.0,7088.0,,
Population 123,52931365.0,1210745.0,10490.0,,
Population 124,39814004.0,761670.0,21627.0,178.0,
Population 125,46922858.0,2246922.0,5384.0,,
Population 126,23196110.0,8134593.0,55203.0,,
Population 127,7012422.0,67906.0,182.0,,
Population 128,87796293.0,3925050.0,62044.0,,
Population 129,23872526.0,333322.0,649.0,,
Population 130,14132886.0,217903.0,659.0,,
Population 131,87392018.0,4301322.0,12498.0,,
Population 132,16759380.0,276747.0,3205.0,,
Population 133,20646459.0,357300.0,7053.0,,
Population 134,24123022.0,172169.0,216.0,,
Population 135,10031409.0,51043.0,199.0,,
Population 136,95066116.0,1365191.0,2406.0,,
Population 137,57437580.0,3886120.0,8237.0,,
Population 138,53453835.0,802417.0,3352.0,,
Population 139,15933681.0,2823756.0,29071.0,,
Population 140,17545253.0,223390.0,,,
Population 141,51743847.0,4647247.0,14863.0,,
Population 142,101443742.0,9425083.0,437277.0,12758.0,
Population 143,54439922.0,740936.0,2785.0,,
Population 144,81721377.0,2008372.0,8823.0,,
Population 145,47316500.0,1738979.0,2198.0,,
Population 146,20554401.0,256583.0,1815.0,,
Population 147,108659806.0,1557148.0,4267.0,,
Population 148,37833515.0,387430.0,9027.0,,
Population 149,17341000.0,385094.0,6856.0,,
Population 150,55183750.0,1298631.0,7595.0,,
Population 151,81721556.0,2687259.0,38870.0,,
Population 152,91439415.0,2384171.0,19871.0,,
Population 153,20773875.0,352193.0,10567.0,,
Population 154,28862104.0,301114.0,1009.0,,
Population 155,64226996.0,3675580.0,13842.0,,
Population 156,15796551.0,3167463.0,17252.0,,
Population 157,26146768.0,336132.0,542.0,,
Population 158,17052052.0,155886.0,,,
Population 159,13900102.0,407936.0,3097.0,,
Population 160,25590292.0,623660.0,1956.0,,
Population 161,68545371.0,650636.0,3515.0,,
Population 162,102336426.0,1154408.0,2219.0,,
Population 163,47624077.0,1623052.0,384833.0,313.0,
Population 164,26456069.0,388202.0,1177.0,,
Population 165,20613865.0,683588.0,624627.0,724.0,
Population 166,109647606.0,1699816.0,9792.0,,
Population 167,77282672.0,869686.0,2707.0,,
Population 168,95172995.0,6171042.0,23273.0,,
Population 169,41197784.0,1897750.0,3538.0,,
Population 170,74255397.0,463151.0,723.0,,
Population 171,25008279.0,1104423.0,7015.0,,
Population 172,64039231.0,642111.0,1113.0,,
Population 173,11099045.0,144064.0,419.0,,
Population 174,46718720.0,872801.0,22087.0,,
Population 175,6901535.0,52043.0,100.0,,
Population 176,10007515.0,146130.0,477.0,,
Population 177,79318530.0,1213290.0,1733.0,,
Population 178,35855826.0,566677.0,2032.0,,
Population 179,50206229.0,3275084.0,46354.0,1150.0,
Population 180,41159012.0,22154903.0,129395.0,632.0,
Population 181,37084798.0,2420766.0,10327.0,,
Population 182,32730937.0,241028.0,,,
Population 183,30141623.0,282462.0,548.0,,
Population 184,68744574.0,5639931.0,16943.0,,
Population 185,29365547.0,40621099.0,147238.0,630.0,
Population 186,23446339.0,232332.0,104.0,,
Population 187,46338515.0,2910009.0,5325.0,,
Population 188,33690983.0,143342.0,147.0,,
Population 189,108694791.0,6156025.0,48281.0,163.0,
Population 190,78145984.0,3865808.0,21817.0,,
Population 191,66514930.0,1938693.0,10651.0,,
Population 192,24084822.0,168647.0,102.0,,
Population 193,74955162.0,1284267.0,2953.0,,
Population 194,16590973.0,15897073.0,115441.0,,
Population 195,24098159.0,421187.0,930.0,,
Population 196,113387830.0,1188423.0,1470.0,,
Population 197,24174542.0,3077455.0,11428.0,109.0,
Population 198,44059830.0,1854519.0,14918.0,,
Population 199,24745002.0,636518.0,1440.0,,
Population 200,20112255.0,77040.0,683.0,,
Population 201,12075247.0,33558672.0,125685.0,,
Population 202,93986115.0,2360772.0,6073.0,,
Population 203,91347308.0,3883766.0,22291.0,,
Population 204,29188963.0,244181.0,2570.0,,
Population 205,106843661.0,1772586.0,25585.0,,
Population 206,107076328.0,1495400.0,1167.0,,
Population 207,51227164.0,6836971.0,38649.0,,
Population 208,81221021.0,1181073.0,901.0,,
Population 209,108617680.0,7174215.0,53659.0,,
Population 210,37565187.0,467209.0,2164.0,,
Population 211,24001712.0,42075473.0,588112.0,540.0,
Population 212,41350068.0,770454.0,6106.0,,
Population 213,75985595.0,1318747.0,38127.0,,
Population 214,36691381.0,424677.0,566.0,,
Population 215,14306482.0,1529242.0,5627.0,,
Population 216,20968607.0,684026.0,831.0,,
Population 217,48867671.0,979772.0,163.0,,
Population 218,33810790.0,1837354.0,4213.0,,
Population 219,34212404.0,660515.0,1636.0,,
Population 220,113989359.0,1799677.0,4899.0,,
Population 221,59814823.0,12868641.0,35017.0,,
Population 222,96718073.0,11949136.0,34065.0,176.0,
Population 223,13471450.0,190454.0,,,
Population 224,91594992.0,4410527.0,18954.0,,
Population 225,105372793.0,1370126.0,6215.0,,
Population 226,104461683.0,1502797.0,4337.0,115.0,
Population 227,97090149.0,4360973.0,22717.0,,
Population 228,44867903.0,2046415.0,4052.0,,
Population 229,9046895.0,215302.0,1588.0,,
Population 230,108621621.0,1798771.0,3391.0,,
Population 231,95022552.0,10803017.0,1268137.0,23410.0,
Population 232,82438373.0,4309261.0,613791.0,3204.0,
Population 233,21985296.0,851709.0,1681.0,,
Population 234,13590257.0,87032.0,187.0,,
Population 235,32501172.0,327671.0,8849.0,,
Population 236,52903302.0,1173387.0,1717.0,,
Population 237,41646412.0,425533.0,870.0,,
Population 238,31396395.0,34154777.0,461262.0,861.0,
Population 239,36827055.0,1074461.0,6083.0,,
Population 240,81492143.0,590501.0,567.0,,
Population 241,107586977.0,6924737.0,378252.0,320.0,
Population 242,11069027.0,120383.0,168.0,,
Population 243,55834345.0,818872.0,1152.0,,
Population 244,34253997.0,69205175.0,1205083.0,5745.0,
Population 245,11798617.0,40251.0,,,
Population 246,28761557.0,7542646.0,62305.0,,
Population 247,52551240.0,499619.0,719.0,,
Population 248,58171158.0,740782.0,381.0,,
Population 249,40508569.0,1079182.0,4789.0,,
Population 250,84082050.0,1482443.0,5653.0,4250.0,
Population 251,47634480.0,802222.0,1235.0,,
Population 252,101273665.0,3846711.0,61060.0,,
Population 253,10640176.0,85049.0,,,
Population 254,72640079.0,1535550.0,29863.0,345.0,
Population 255,44260356.0,1307500.0,5664.0,,
Population 256,60744186.0,3409824.0,9972.0,,
Population 257,50885715.0,805903.0,13782.0,498.0,
Population 258,39648207.0,380027.0,11619.0,,
Population 259,38889224.0,808570.0,5068.0,,
Population 260,52627344.0,1623466.0,39576.0,,
Population 261,18104458.0,270109.0,212.0,,
Population 262,13340107.0,24190493.0,160162.0,,
Population 263,33896519.0,5162773.0,4746.0,,
