,1,2,3
Population 282,658.0,2.0,
Population 283,83.0,,
Population 284,30.0,,
Population 285,106.0,,
Population 286,54.0,,
Population 287,18.0,1.0,
Population 288,74.0,,
Population 289,21.0,,
Population 290,47.0,,
Population 291,37.0,,
Population 292,23.0,,
Population 293,48.0,,
Population 294,57.0,,
Population 295,52.0,,
Population 296,123.0,,
Population 297,91.0,,
Population 298,61.0,,
Population 299,83.0,,
Population 300,42.0,,
Population 301,43.0,,
Population 302,59.0,,
Population 303,37.0,1.0,
Population 304,67.0,,
Population 305,37.0,,
Population 306,53.0,,
Population 307,27.0,,
Population 308,54.0,,
Population 309,74.0,,
Population 310,222.0,,
Population 311,116.0,,
Population 312,111.0,,
Population 313,58.0,,
Population 314,94.0,,
Population 315,176.0,1.0,
Population 316,126.0,,
Population 317,64.0,,
Population 318,32.0,,
Population 319,60.0,,
Population 320,57.0,1.0,
Population 321,30.0,,
Population 322,70.0,,
Population 323,36.0,,
Population 324,52.0,3.0,
Population 325,48.0,,
Population 326,68.0,,
Population 327,30.0,,
Population 328,49.0,,
Population 329,185.0,,
Population 330,63.0,,
Population 331,22.0,,
Population 332,15.0,,
Population 333,3606.0,90.0,
Population 334,70.0,,
Population 335,150.0,1.0,
Population 336,151.0,,
Population 337,43.0,,
Population 338,222.0,,
Population 339,25.0,,
Population 340,42.0,2.0,
Population 341,264.0,,
Population 342,18.0,,
Population 343,27.0,,
Population 344,1505.0,29.0,
Population 345,35.0,,
Population 346,80.0,,
Population 347,32.0,,
Population 348,92.0,,
Population 349,87.0,,
Population 350,18.0,,
Population 351,245.0,,
Population 352,60.0,,
Population 353,36.0,,
Population 354,56.0,,
Population 355,61.0,,
Population 356,72.0,,
Population 357,36.0,,
Population 358,61.0,,
Population 359,779.0,4.0,
Population 360,10.0,,
Population 361,511.0,,
Population 362,66.0,,
Population 363,49.0,,
Population 364,187.0,,
Population 365,625.0,3.0,
Population 366,87.0,,
Population 367,49.0,,
Population 368,18.0,,
Population 369,92.0,,
Population 370,130.0,1.0,
Population 371,31.0,,
Population 372,104.0,,
Population 373,103.0,,
Population 374,46.0,,
Population 375,247.0,,
Population 376,23.0,,
Population 377,47.0,,
Population 378,24.0,,
Population 379,119.0,,
Population 380,71.0,,
Population 381,34.0,,
Population 382,37.0,,
Population 383,84.0,,
Population 384,977.0,8.0,
Population 385,236.0,,
Population 386,55.0,,
Population 387,32.0,,
Population 388,58.0,,
Population 389,43.0,,
Population 390,61.0,,
Population 391,912.0,2.0,
Population 392,2346.0,7.0,
Population 393,108.0,,
Population 394,15.0,,
Population 395,458.0,,
Population 396,159.0,,
Population 397,17.0,,
Population 398,55.0,,
Population 399,57.0,,
Population 400,10.0,,
Population 401,82.0,,
Population 402,1281.0,10.0,
Population 403,71.0,,
Population 404,168.0,,
Population 405,29.0,,
Population 406,614.0,1.0,
Population 407,166.0,,
Population 408,34.0,,
Population 409,129.0,,
Population 410,144.0,,
Population 411,43.0,,
Population 412,34.0,,
Population 413,31.0,,
Population 414,212.0,,
Population 415,79.0,,
Population 416,92.0,,
Population 417,111.0,,
Population 418,35.0,,
Population 419,148.0,,
Population 420,25.0,,
Population 421,37.0,,
Population 422,34.0,,
Population 423,38.0,,
Population 424,69.0,,
Population 425,144.0,,
Population 426,61.0,,
Population 427,22.0,,
Population 428,56.0,,
Population 429,279.0,,
Population 430,105.0,,
Population 431,73.0,,
Population 432,29.0,,
Population 433,99.0,,
Population 434,35.0,,
Population 435,42.0,,
Population 436,104.0,,
Population 437,46.0,,
Population 438,64.0,,
Population 439,37.0,,
Population 440,106.0,,
Population 441,45.0,,
Population 442,30.0,,
Population 443,232.0,,
Population 444,63.0,,
Population 445,64.0,,
Population 446,2362.0,8.0,
Population 447,54.0,,
Population 448,91.0,,
Population 449,177.0,,
Population 450,40.0,,
Population 451,57.0,,
Population 452,413.0,,
Population 453,61.0,,
Population 454,28.0,,
Population 455,111.0,,
Population 456,36.0,,
Population 457,29.0,,
Population 458,105.0,1.0,
Population 459,148.0,,
Population 460,51.0,,
Population 461,89.0,,
Population 462,10542.0,40.0,
Population 463,46.0,,
Population 464,32.0,,
Population 465,44.0,,
Population 466,61.0,,
Population 467,35.0,,
Population 468,52.0,,
Population 469,92.0,1.0,
Population 470,75.0,,
Population 471,48.0,,
Population 472,23.0,,
Population 473,17.0,,
Population 474,33.0,,
Population 475,80.0,,
Population 476,105.0,1.0,
Population 477,69.0,2.0,
Population 478,131.0,,
Population 479,157.0,1.0,
Population 480,25.0,,
Population 481,12.0,,
Population 482,117.0,,
Population 483,66.0,,
Population 484,125.0,,
Population 485,23.0,,
Population 486,42.0,,
Population 487,95.0,,
Population 488,90.0,,
Population 489,36.0,,
Population 490,22.0,,
Population 491,91.0,,
Population 492,47.0,,
Population 493,374.0,,
Population 494,59.0,,
Population 495,33.0,,
Population 496,188.0,,
Population 497,39.0,,
Population 498,28.0,,
Population 499,29.0,,
Population 500,47.0,,
Population 501,74.0,,
Population 502,53.0,,
Population 503,39.0,,
Population 504,31.0,,
Population 505,64.0,,
Population 506,110.0,,
Population 507,1303.0,6.0,
Population 508,244.0,,
Population 509,82.0,,
Population 510,330.0,,
Population 511,488.0,3.0,
Population 512,65.0,,
Population 513,45.0,,
Population 514,1592.0,6.0,
Population 515,432.0,,
Population 516,46.0,,
Population 517,49.0,,
Population 518,80.0,,
Population 519,25.0,,
Population 520,45.0,,
Population 521,42.0,,
Population 522,44.0,,
Population 523,169.0,,
Population 524,49.0,,
Population 525,400.0,,
Population 526,13.0,,
Population 527,28.0,,
Population 528,1144.0,89.0,5.0
Population 529,54.0,,
Population 530,108.0,,
Population 531,24.0,,
Population 532,79.0,1.0,
Population 533,21.0,,
Population 534,83.0,,
Population 535,104.0,,
Population 536,154.0,,
Population 537,17.0,,
Population 538,87.0,1.0,
Population 539,67.0,,
Population 540,486.0,,
Population 541,44.0,,
Population 542,30.0,,
Population 543,53.0,,
Population 544,77.0,,
Population 545,356.0,,
Population 546,47.0,,
Population 547,43.0,,
Population 548,28.0,,
Population 549,73.0,,
Population 550,45.0,,
Population 551,385.0,2.0,
Population 552,37.0,,
Population 553,49.0,,
Population 554,145.0,,
Population 555,97.0,,
Population 556,26.0,,
Population 557,122.0,,
Population 558,125.0,1.0,
Population 559,52.0,,
Population 560,22.0,,
Population 561,64.0,,
Population 562,334.0,,
Population 563,148.0,,
Population 564,990.0,17.0,
Population 565,84.0,,
Population 566,96.0,,
Population 567,55.0,,
Population 568,63.0,,
Population 569,75.0,,
Population 570,30.0,,
Population 571,139.0,,
Population 572,40.0,,
Population 573,54.0,,
Population 574,103.0,,
Population 575,49.0,,
Population 576,84.0,,
Population 577,169.0,,
Population 578,135.0,,
Population 579,291.0,,
Population 580,51.0,,
Population 581,155.0,,
Population 582,90.0,,
Population 583,42.0,,
Population 584,194.0,,
Population 585,117.0,,
Population 586,98.0,,
Population 587,103.0,2.0,
Population 588,132.0,,
Population 589,723.0,1.0,
Population 590,12.0,,
Population 591,118.0,,
Population 592,75.0,,
Population 593,48.0,,
Population 594,96.0,,
Population 595,128.0,,
Population 596,65.0,,
Population 597,105.0,1.0,
Population 598,52.0,,
Population 599,36.0,,
Population 600,40.0,,
Population 601,22.0,,
Population 602,241.0,,
Population 603,112.0,,
Population 604,53.0,,
Population 605,62.0,,
Population 606,74.0,,
Population 607,111.0,,
Population 608,253.0,,
Population 609,204.0,,
Population 610,163.0,2.0,
Population 611,22.0,,
Population 612,82.0,,
Population 613,107.0,,
Population 614,28.0,,
Population 615,137.0,,
Population 616,44.0,,
Population 617,74.0,,
Population 618,45.0,,
Population 619,31.0,,
Population 620,55.0,,
Population 621,238.0,3.0,
Population 622,48.0,,
Population 623,63.0,,
Population 624,50.0,,
Population 625,82.0,,
Population 626,67.0,,
Population 627,63.0,,
Population 628,33.0,,
Population 629,14.0,,
Population 630,83.0,,
Population 631,63.0,,
Population 632,31.0,,
Population 633,53.0,,
Population 634,161.0,,
Population 635,25.0,,
Population 636,81.0,,
Population 637,106.0,,
Population 638,33.0,,
Population 639,687.0,2.0,
Population 640,38.0,,
Population 641,142.0,,
Population 642,30.0,,
Population 643,77.0,,
Population 644,31.0,,
Population 645,33.0,3.0,
Population 646,105.0,,
Population 647,250.0,,
Population 648,534.0,1.0,
Population 649,28.0,,
Population 650,31.0,,
Population 651,115.0,1.0,
Population 652,55.0,,
Population 653,31.0,,
Population 654,48.0,,
Population 655,55.0,,
Population 656,163.0,,
Population 657,85.0,,
Population 658,132.0,,
Population 659,45.0,1.0,
Population 660,40.0,,
Population 661,43.0,,
Population 662,50.0,,
Population 663,1825.0,7.0,
Population 664,63.0,,
Population 665,210.0,1.0,
Population 666,54.0,,
Population 667,38.0,,
Population 668,125.0,,
Population 669,55.0,,
Population 670,67.0,,
Population 671,195.0,,
Population 672,35.0,,
Population 673,40.0,,
Population 674,46.0,,
Population 675,32.0,,
Population 676,42.0,,
Population 677,71.0,,
