,1,2,3,4,5,6
Population 108,63134910.0,52099752.0,634123.0,1522.0,,
Population 109,51796687.0,63538076.0,500410.0,3569.0,,
Population 110,312392.0,25194779.0,89910913.0,493349.0,2881.0,
Population 111,35014287.0,76808450.0,4050218.0,8945.0,119.0,
Population 112,16974690.0,88176383.0,10621904.0,119690.0,3798.0,
Population 113,6653754.0,108268660.0,981421.0,288.0,,
Population 114,50769921.0,62206972.0,2895823.0,18586.0,132.0,
Population 115,50877657.0,64652444.0,271530.0,,,
Population 116,111154855.0,4639852.0,15598.0,,,
Population 117,50942737.0,64177008.0,673090.0,411.0,,
Population 118,8895449.0,96141992.0,10798341.0,75822.0,127.0,
Population 119,72279838.0,42652755.0,466126.0,141.0,,
Population 120,53789394.0,61430878.0,683426.0,2574.0,,
Population 121,0.0,82378458.0,1161288.0,25177.0,,
Population 122,50726189.0,63667854.0,1503205.0,3089.0,,
Population 123,4606343.0,79119418.0,32028597.0,138926.0,,
Population 124,87116091.0,28318730.0,425783.0,435.0,,
Population 125,95616452.0,19794499.0,241606.0,,,
Population 126,39543868.0,75036536.0,1325231.0,2739.0,,
Population 127,101209527.0,13675972.0,584955.0,1305.0,,
Population 128,83915251.0,31693676.0,199267.0,209.0,,
Population 129,11531190.0,98579054.0,5573627.0,204808.0,,
Population 130,80599907.0,34913268.0,365633.0,2394.0,,
Population 131,2444763.0,110121342.0,3290846.0,20019.0,,
Population 132,327792.0,74738974.0,33105907.0,7699881.0,21509.0,
Population 133,73304391.0,29960615.0,12576410.0,43982.0,,
Population 134,43472449.0,71764546.0,660515.0,3796.0,,
Population 135,17278622.0,95893102.0,2696541.0,12395.0,,
Population 136,30725672.0,83786240.0,1394324.0,1873.0,,
Population 137,25928144.0,88583990.0,1385894.0,4697.0,,
Population 138,100628283.0,14739029.0,98722.0,,,
Population 139,8091.0,0.0,53257606.0,2547555.0,3773.0,
Population 140,86955648.0,28522848.0,253512.0,2334.0,,
Population 141,17061182.0,96749247.0,2077879.0,9566.0,,
Population 142,46685504.0,66449278.0,2722760.0,5661.0,,
Population 143,11998343.0,102644126.0,1257177.0,2955.0,,
Population 144,105699818.0,10036721.0,121998.0,494.0,,
Population 145,1832694.0,110492994.0,3526746.0,21806.0,,
Population 146,47969347.0,64879264.0,2777471.0,8740.0,,
Population 147,5835641.0,108114630.0,1923082.0,5600.0,,
Population 148,101593995.0,13467346.0,785588.0,706.0,,
Population 149,11943989.0,98269913.0,5655040.0,14734.0,,
Population 150,35566797.0,78827177.0,1484200.0,21189.0,,
Population 151,4900374.0,68963466.0,41470308.0,551402.0,302.0,
