,1,2,3,4
Population 196,9575.0,13.0,,
Population 197,7762.0,14.0,,
Population 198,13051.0,70.0,,
Population 199,6636.0,3.0,,
Population 200,9194.0,12.0,,
Population 201,10307.0,35.0,,
Population 202,9197.0,33.0,,
Population 203,14913.0,84.0,,
Population 204,8659.0,91.0,,
Population 205,9094.0,21.0,,
Population 206,11534.0,45.0,,
Population 207,9306.0,33.0,,
Population 208,8707.0,17.0,,
Population 209,8269.0,20.0,,
Population 210,7594.0,44.0,,
Population 211,14426.0,59.0,,
Population 212,28872.0,101.0,,
Population 213,7538.0,37.0,,
Population 214,16179.0,83.0,,
Population 215,33006.0,292.0,,
Population 216,45906.0,207.0,,
Population 217,7889.0,31.0,,
Population 218,12081.0,46.0,,
Population 219,6396.0,5.0,,
Population 220,8845.0,34.0,,
Population 221,15102.0,27.0,,
Population 222,10678.0,26.0,,
Population 223,12179.0,27.0,,
Population 224,7188.0,69.0,,
Population 225,7386.0,5.0,,
Population 226,10218.0,32.0,,
Population 227,10371.0,247.0,,
Population 228,13317.0,93.0,,
Population 229,12279.0,40.0,,
Population 230,7313.0,15.0,,
Population 231,7672.0,7.0,,
Population 232,9344.0,13.0,,
Population 233,14224.0,147.0,,
Population 234,10160.0,32.0,,
Population 235,11353.0,20.0,,
Population 236,10620.0,19.0,,
Population 237,10891.0,10.0,,
Population 238,6852.0,10.0,,
Population 239,322900.0,3177.0,30.0,
Population 240,22010.0,54.0,,
Population 241,15318.0,46.0,,
Population 242,16727.0,56.0,,
Population 243,8923.0,59.0,,
Population 244,27263.0,274.0,,
Population 245,8953.0,33.0,,
Population 246,16353.0,72.0,,
Population 247,20316.0,214.0,,
Population 248,8397.0,14.0,,
Population 249,0.0,7859.0,40.0,
Population 250,7428.0,15.0,,
Population 251,12551.0,147.0,,
Population 252,13118.0,227.0,,
Population 253,5866.0,15.0,,
Population 254,18284.0,353.0,,
Population 255,17176.0,32.0,,
Population 256,13774.0,39.0,,
Population 257,7170.0,60.0,,
Population 258,11893.0,76.0,,
Population 259,9253.0,102.0,,
Population 260,7395.0,29.0,,
Population 261,193738.0,1621.0,,
Population 262,8972.0,44.0,,
Population 263,9724.0,58.0,,
Population 264,19140.0,105.0,,
Population 265,20833.0,34.0,,
Population 266,12532.0,50.0,,
Population 267,10372.0,50.0,,
Population 268,7861.0,32.0,,
Population 269,7976.0,29.0,,
Population 270,104436.0,577.0,2.0,
Population 271,7690.0,16.0,,
Population 272,20339.0,339.0,,
Population 273,17833.0,61.0,,
Population 274,7478.0,36.0,,
Population 275,8145.0,76.0,1.0,
Population 276,11015.0,43.0,,
Population 277,17682.0,151.0,,
Population 278,9931.0,55.0,,
Population 279,13332.0,41.0,,
Population 280,21435.0,61.0,,
Population 281,9894.0,27.0,,
Population 282,7159.0,9.0,,
Population 283,9402.0,28.0,,
Population 284,44264.0,325.0,,
Population 285,9057.0,14.0,,
Population 286,10112.0,15.0,,
Population 287,10694.0,34.0,,
Population 288,7179.0,45.0,,
Population 289,11318.0,40.0,,
Population 290,6638.0,21.0,,
Population 291,9151.0,26.0,,
Population 292,13580.0,34.0,,
Population 293,10933.0,136.0,,
Population 294,17828.0,52.0,,
Population 295,7580.0,56.0,,
Population 296,6764.0,25.0,,
Population 297,17183.0,208.0,,
Population 298,10626.0,25.0,,
Population 299,13188.0,173.0,,
Population 300,10265.0,19.0,,
Population 301,11401.0,29.0,,
Population 302,10013.0,62.0,,
Population 303,8927.0,39.0,,
Population 304,8727.0,33.0,,
Population 305,8907.0,27.0,,
Population 306,37194.0,103.0,,
Population 307,12508.0,98.0,,
Population 308,14482.0,52.0,,
Population 309,7454.0,5.0,,
Population 310,8766.0,26.0,,
Population 311,15675.0,43.0,,
Population 312,10278.0,17.0,,
Population 313,13173.0,41.0,,
Population 314,8153.0,13.0,,
Population 315,11602.0,17.0,,
