,MaxAFs,H,total_m,rec_errors
0,0.058489091038305734,0.09257056109732387,9.0,0.23365344672938448
1,0.00838604221448369,0.5190643591130342,9.0,0.004396640860114598
2,0.006040793120602658,0.4041772959183674,3.0,0.2614117576346242
3,0.0013502949328405942,0.9054462021494989,11.0,0.02694650399760068
4,0.0005685452348802502,0.8472222222222222,5.0,0.0008118069076381573
5,0.00014213630872006254,0.9342560553633218,1.0,0.0008118069076381573
6,0.000781749697960344,0.8989298454221165,9.0,0.0008118069076381573
7,0.00035534077180015633,0.9053254437869823,6.0,0.23365344672938448
8,0.003126998791841376,0.7884857646762409,8.0,0.29741604599656846
9,0.00035534077180015633,0.8444444444444444,1.0,0.0008118069076381573
10,0.20808755596617157,0.0745928681229785,5.0,0.0008118069076381573
11,0.0034823395636415324,0.783006625230517,6.0,0.0008118069076381573
12,0.003411271409281501,0.7322890708437165,7.0,0.0008118069076381573
13,0.11399331959349016,0.052784846092665316,8.0,0.0008118069076381573
14,0.2472461090185488,0.03306740663660557,6.0,0.0008118069076381573
15,0.008172837751403596,0.560822241373807,8.0,0.3717961613952099
16,0.003198066946201407,0.6644854253420582,7.0,0.0530812010875632
17,0.0017767038590007817,0.7433431952662721,6.0,0.0008118069076381573
18,0.0006396133892402814,0.8868343195266273,7.0,0.29741604599656846
19,0.0019188401677208444,0.7597698869271969,7.0,0.1841210565887934
20,0.0012081586241205315,0.8538888888888889,8.0,0.3635480014471115
21,0.0012081586241205315,0.7962500000000001,4.0,0.0008118069076381573
22,0.0022031127851609694,0.86210858948578,11.0,0.30135368340730473
23,0.0004974770805202189,0.8704000000000001,6.0,0.23365344672938448
24,0.0029848624831213134,0.7473777080678365,7.0,0.7663465532706155
25,0.00042640892616018763,0.9185185185185185,9.0,0.23365344672938448
26,0.000781749697960344,0.88125,7.0,0.0008118069076381573
27,0.001847772013360813,0.7688519544475223,9.0,0.26553474636297647
28,0.002345249093881032,0.8055555555555556,10.0,0.11723262681851132
29,0.00042640892616018763,0.8959999999999999,6.0,0.23365344672938448
30,0.0017056357046407505,0.7954815695600475,6.0,0.6364519985528885
31,0.0005685452348802502,0.9021092482422931,9.0,0.7663465532706155
32,0.0011370904697605004,0.7392257121986852,4.0,0.0008118069076381573
33,0.0013502949328405942,0.7437500000000001,6.0,0.5318812996335929
34,0.000781749697960344,0.9027777777777778,10.0,0.7663465532706155
35,0.0024873854026010943,0.6706343446073451,4.0,0.11723262681851132
36,0.009594200838604221,0.5682262303182768,13.0,0.5318812996335929
37,0.0014213630872006253,0.8233024691358024,7.0,0.5318812996335929
38,0.0002842726174401251,0.93359375,6.0,0.0008118069076381573
39,0.004690498187762064,0.6238130021913806,5.0,0.0008118069076381573
40,0.002629521711321157,0.7595701002294409,7.0,0.29248125036057804
41,0.005116907113922251,0.6746139530204718,8.0,0.2555958703019421
42,0.002416317248241063,0.783528280724243,10.0,0.26553474636297647
43,0.003695544026721626,0.6977028561446414,7.0,0.0008118069076381573
44,0.001563499395920688,0.7571845064556436,8.0,0.23365344672938448
45,0.007320019899083221,0.4948425746587992,6.0,0.0008118069076381573
46,0.0012792267784805628,0.7650000000000001,5.0,0.0530812010875632
47,0.00042640892616018763,0.8698979591836735,5.0,0.23365344672938448
48,0.0002842726174401251,0.885,3.0,0.0008118069076381573
49,0.0017056357046407505,0.6337868480725624,4.0,0.0008118069076381573
50,0.0020609764764409066,0.8318009734991887,10.0,0.0530812010875632
51,0.010162746073484472,0.6680966078159096,10.0,0.23365344672938448
52,0.0027005898656811884,0.6973165697128918,8.0,0.0530812010875632
53,0.0029848624831213134,0.7289496527777778,5.0,0.16508921866342519
54,0.0022741809395210007,0.8027681660899655,9.0,0.47798829163838974
55,0.000781749697960344,0.9165705497885429,10.0,0.3964808262777524
56,0.0017767038590007817,0.8549446425220492,11.0,0.23365344672938448
57,0.0028427261744012507,0.59765625,7.0,0.6221674224545026
58,0.0019188401677208444,0.7797067901234569,4.0,0.0008118069076381573
59,0.0017767038590007817,0.744749021003916,6.0,0.11723262681851132
60,0.007177883590363158,0.4317146776406037,5.0,0.0008118069076381573
61,0.0007106815436003127,0.8636836628511967,4.0,0.0008118069076381573
62,0.000781749697960344,0.89453125,9.0,0.30135368340730473
63,0.0017767038590007817,0.7421124828532236,4.0,0.4681187003664071
64,0.04036671167649776,0.09152740867528508,8.0,0.23365344672938448
65,0.00035534077180015633,0.869684499314129,5.0,0.7663465532706155
66,0.0013502949328405942,0.8371574961015816,8.0,0.23365344672938448
67,0.000781749697960344,0.8625,6.0,0.29741604599656846
68,0.0009949541610404379,0.7947530864197531,4.0,0.0008118069076381573
69,0.0027005898656811884,0.7475685876034257,9.0,0.5
70,0.0012792267784805628,0.8259166963332147,8.0,0.7663465532706155
71,0.0006396133892402814,0.9057851239669421,10.0,0.23365344672938448
72,0.0002842726174401251,0.8788927335640139,2.0,0.0008118069076381573
73,0.0004974770805202189,0.9115646258503401,7.0,0.11723262681851132
74,0.0007106815436003127,0.885,7.0,0.4681187003664071
75,0.0011370904697605004,0.8654970760233918,9.0,0.02694650399760068
76,0.027005898656811883,0.2739516238007299,12.0,0.5
77,0.0005685452348802502,0.9184027777777778,9.0,0.26059995072698605
78,0.006609338355482908,0.42911030176899057,7.0,0.26059995072698516
79,0.0012081586241205315,0.8736361832969648,9.0,0.02694650399760068
