,selection_0p1_MaxAFs,selection_0p1_H,selection_0p1_total_m,selection_0p1_rec_errors
123,0.021465,0.8993483724187503,1546.0,2.503404328839185
124,0.09472,0.733565743989548,1474.0,2.376725091192565
125,0.056396,0.7725845480071963,1449.0,2.376725091192565
126,0.043184,0.782002164620685,1559.0,2.503404328839185
127,0.036798,0.7607139271144374,1509.0,2.503404328839185
128,0.01911,0.9188581872282778,1510.0,2.503404328839185
129,0.046778,0.8497054765519501,1536.0,2.503404328839185
130,0.006246,0.9566840168446965,1493.0,2.503404328839185
131,0.253536,0.5780034645942536,1432.0,2.503404328839185
132,0.155248,0.7484786983436624,1446.0,2.376170315165389
133,0.084386,0.7761083851431615,1408.0,2.503404328839185
134,0.010338,0.9422997857516928,1583.0,2.503404328839185
135,0.101871,0.6848582034087012,1454.0,2.503404328839185
136,0.502433,0.3709384411257225,1226.0,2.503404328839185
137,0.999953,0.1313289459208108,1283.0,1.7378695824762076
138,0.012581,0.9311598340962711,1508.0,2.503404328839185
139,0.171915,0.6459848923914715,1541.0,2.376725091192565
140,0.041294,0.8129484465399404,1542.0,2.503404328839185
141,0.497805,0.15442060406844638,1308.0,2.503404328839185
142,0.027422,0.8656885353762984,1542.0,2.503404328839185
143,0.503736,0.19717956613167553,1332.0,2.503404328839185
144,0.107065,0.4361723811435769,1373.0,2.503404328839185
145,0.01484,0.9267330578546759,1543.0,2.503404328839185
146,0.091225,0.7657955291511737,1444.0,2.503404328839185
147,0.37937,0.6130822369920532,1198.0,2.7378695824762076
148,0.286079,0.5470676828573757,1385.0,2.503404328839185
149,0.263388,0.4658913672974698,1408.0,2.503404328839185
150,0.026085,0.8931333969989126,1543.0,2.503404328839185
151,0.044901,0.8151330446071052,1514.0,2.503404328839185
152,0.086267,0.6858898840197163,1428.0,2.503404328839185
153,0.005415,0.9607741253045804,1477.0,2.503404328839185
154,0.369371,0.37344456035693874,1384.0,2.503404328839185
155,0.952639,0.5535085360765026,1077.0,2.620873642064634
156,0.333953,0.53697405106005,1464.0,2.503404328839185
157,0.062826,0.6678703456766089,1414.0,2.503404328839185
158,0.011697,0.9315729534355119,1452.0,2.503404328839185
159,0.02348,0.8966271299703018,1507.0,2.4337578067183347
160,0.085961,0.6538120572922702,1454.0,2.3481559389957916
161,0.059428,0.7647438737104453,1439.0,2.503404328839185
162,0.167439,0.735457172980909,1391.0,2.503404328839185
163,0.266103,0.41136407785945384,1410.0,2.503404328839185
164,0.207898,0.4248794277704281,1398.0,2.503404328839185
165,0.892633,0.10747987457728037,1237.0,2.503404328839185
166,0.018099,0.8924642756274025,1478.0,2.503404328839185
167,0.108084,0.7665136511938782,1359.0,2.5572973368343845
168,0.015202,0.9123066117162745,1454.0,2.503404328839185
169,0.004236,0.9557990293960575,1510.0,2.4884817953633886
170,0.015848,0.9267997216618346,1546.0,2.4723348361132302
171,0.074033,0.8277205491766575,1417.0,2.503404328839185
172,0.54129,0.46077039487004756,1161.0,2.9723348361132302
173,0.452757,0.15206020765664208,1299.0,2.6662317083875493
174,0.671246,0.21671902364761997,1227.0,2.503404328839185
175,0.529078,0.27235926904264074,1191.0,2.7378695824762076
176,0.865997,0.07452398727692211,1270.0,2.503404328839185
177,0.230006,0.6653962256352173,1277.0,2.503404328839185
178,0.1103,0.6344849151141174,1401.0,2.503404328839185
179,0.168378,0.6297039339622557,1363.0,2.503404328839185
180,0.142196,0.6205633168666411,1325.0,2.503404328839185
181,0.158924,0.5819226955198771,1403.0,2.503404328839185
182,0.324777,0.2534786251640304,1379.0,2.503404328839185
183,0.156868,0.4940481447724785,1500.0,2.324269402975702
184,0.009849,0.9362313234580515,1478.0,2.503404328839185
185,0.032154,0.8598591252226966,1420.0,2.503404328839185
186,0.02913,0.8578860441015757,1427.0,2.3481559389957916
187,0.018283,0.8719370773768294,1521.0,2.503404328839185
188,0.224039,0.36091011365515835,1339.0,2.503404328839185
189,0.39719,0.5197232515635651,1123.0,2.503404328839185
190,0.046715,0.8041420874968477,1532.0,2.503404328839185
191,0.063094,0.7511604632948108,1489.0,2.503404328839185
192,0.029838,0.8532064954444448,1465.0,2.503404328839185
193,0.463605,0.5101962593985152,1169.0,2.503404328839185
194,0.004862,0.9736679605144403,1555.0,2.503404328839185
195,0.156425,0.47811807557660313,1381.0,2.503404328839185
196,0.017998,0.8919933911801897,1445.0,2.503404328839185
197,0.235573,0.4198093744806628,1447.0,2.503404328839185
198,0.056729,0.7526899180562551,1470.0,2.435941721287521
199,0.019209,0.8876582140751748,1532.0,2.503404328839185
200,0.521523,0.2733685940000562,1282.0,2.503404328839185
201,0.165923,0.5893569467868652,1453.0,2.503404328839185
202,0.003134,0.9758332417906417,1555.0,2.503404328839185
203,0.01374,0.9379051273036979,1511.0,2.503404328839185
204,0.421477,0.18107318537195782,1324.0,2.503404328839185
205,0.562715,0.18807717316742845,1279.0,2.503404328839185
206,0.082551,0.6370832937848776,1488.0,2.503404328839185
207,0.186375,0.49045934716580464,1414.0,2.503404328839185
208,0.014951,0.9070147545894509,1502.0,2.376725091192565
209,0.020934,0.8763638854283814,1562.0,2.503404328839185
210,0.053036,0.8428613716540094,1446.0,2.503404328839185
211,0.122182,0.34152217916052796,1452.0,2.503404328839185
212,0.03939,0.7694990590896309,1509.0,2.503404328839185
213,0.073323,0.7375562356474198,1525.0,2.503404328839185
214,0.02412,0.908599047726527,1579.0,2.503404328839185
215,0.012069,0.9429074637100158,1534.0,2.503404328839185
216,0.862698,0.1498182919916099,1235.0,2.503404328839185
217,0.719806,0.07337907443032143,1163.0,2.791762590471407
218,0.041354,0.8220528275823726,1527.0,2.503404328839185
219,0.071054,0.6193366521072776,1513.0,2.503404328839185
220,0.027375,0.8724605143363942,1467.0,2.503404328839185
221,0.360117,0.20165371131436827,1386.0,2.503404328839185
222,0.273135,0.5409759376330865,1336.0,2.503404328839185
223,0.169698,0.5514616906218885,1429.0,2.503404328839185
224,0.050205,0.7908535423585319,1515.0,2.503404328839185
225,0.75577,0.134118208195521,1072.0,3.0344738215651397
226,0.022699,0.8411115349693762,1534.0,2.4412653433872755
227,0.017479,0.9147388341884349,1553.0,2.503404328839185
228,0.4866,0.24805103549575136,1465.0,2.503404328839185
229,0.028385,0.8614626287502848,1477.0,2.503404328839185
230,0.040997,0.8296223315771684,1492.0,2.503404328839185
231,0.096388,0.6689948899794633,1484.0,2.3481559389957916
232,0.051228,0.7479615419003234,1498.0,2.503404328839185
233,0.335158,0.30538248726632133,1368.0,2.503404328839185
234,0.062926,0.7986586605702395,1457.0,2.503404328839185
235,0.642445,0.37781680119952443,1308.0,2.503404328839185
236,0.991544,0.06055925684393271,1307.0,2.0141550118078584
237,0.005394,0.9646647221220448,1511.0,2.322832083197362
238,0.007697,0.9455437616072437,1484.0,2.3624405150941783
239,0.012259,0.9249991071439743,1576.0,2.503404328839185
240,0.047091,0.806265223741285,1472.0,2.3463720758643865
241,0.044085,0.8444569229355587,1441.0,2.503404328839185
242,0.517516,0.1178785851126527,1206.0,2.5572973368343845
243,0.017995,0.9318835521472575,1494.0,2.322832083197362
244,0.046137,0.7675435716025302,1487.0,2.503404328839185
245,0.022536,0.9024828174088078,1500.0,2.503404328839185
246,0.04287,0.8403786861826142,1492.0,2.503404328839185
247,0.032242,0.8913014951015296,1501.0,2.503404328839185
248,0.564091,0.09068392593706687,1246.0,2.503404328839185
249,0.040277,0.8434742315882168,1510.0,2.503404328839185
250,0.784506,0.08810342778057512,1177.0,2.7796897581708357
251,0.226358,0.6737477741582043,1375.0,2.5572973368343845
252,0.064472,0.790771812626208,1402.0,2.503404328839185
253,0.026095,0.8836405542438315,1513.0,2.503404328839185
254,0.095399,0.7861767016115893,1431.0,2.503404328839185
255,0.454139,0.19513077871396256,1396.0,2.448603649186736
256,0.496643,0.2429859948892178,1329.0,2.503404328839185
257,0.572925,0.20176748746855466,1228.0,2.5572973368343845
258,0.093775,0.7314401128151186,1513.0,2.3450559353998894
259,0.016344,0.8936780327921389,1425.0,2.503404328839185
260,0.016002,0.924198797456614,1433.0,2.503404328839185
261,0.700812,0.12206928056153465,1278.0,2.531219888394742
262,0.72116,0.13812861596823678,1220.0,2.503404328839185
263,0.089614,0.5477528545026782,1437.0,2.503404328839185
264,0.010632,0.946036775231575,1512.0,2.503404328839185
265,0.220061,0.6279713770802657,1335.0,2.503404328839185
266,0.008179,0.9458270775487727,1482.0,2.503404328839185
267,0.056413,0.735671832709595,1455.0,2.503404328839185
268,0.980761,0.05878027496355509,820.0,3.0883668295603393
269,0.178324,0.5037364226035045,1543.0,2.503404328839185
270,0.91609,0.03349697407579333,1095.0,2.503404328839185
271,0.048809,0.8356247494279168,1466.0,2.322832083197362
272,0.043932,0.7828727030983222,1479.0,2.503404328839185
273,0.477429,0.28362594502413085,1361.0,2.503404328839185
274,0.022449,0.8569297155283258,1514.0,2.503404328839185
275,0.065315,0.7889830932002285,1432.0,2.503404328839185
276,0.348689,0.5412760423471856,1248.0,2.503404328839185
277,0.047007,0.7758013932763291,1465.0,2.503404328839185
278,0.061686,0.8056871482029502,1494.0,2.503404328839185
279,0.050642,0.5916994749996259,1473.0,2.3364606053634187
280,0.185344,0.5138591771868376,1441.0,2.503404328839185
281,0.048939,0.8258091456886687,1463.0,2.503404328839185
282,0.311471,0.5675708826812972,1361.0,2.503404328839185
283,0.028612,0.8847191980976922,1424.0,2.3624405150941783
284,0.518184,0.3108673655050447,1261.0,2.8553388957016566
285,0.185022,0.6732462758710875,1382.0,2.503404328839185
286,0.119135,0.6167571203795242,1429.0,2.324269402975702
287,0.043833,0.8657093059231876,1525.0,2.503404328839185
288,0.332671,0.5303365411504128,1311.0,2.503404328839185
289,0.033085,0.8654242507767602,1502.0,2.322832083197362
290,0.017369,0.8956950672696233,1537.0,2.503404328839185
291,0.027477,0.804618162622354,1504.0,2.503404328839185
292,0.021268,0.9296742297305517,1552.0,2.503404328839185
293,0.005561,0.9666526090239308,1529.0,2.503404328839185
294,0.024779,0.7964608522461203,1466.0,2.322832083197362
295,0.82773,0.1066441640393716,1047.0,3.0344738215651397
296,0.010086,0.9261716979983892,1527.0,2.503404328839185
297,0.029665,0.8649865403978224,1509.0,2.503404328839185
298,0.401127,0.19122438250257534,1291.0,2.503404328839185
299,0.022159,0.9082516375172429,1443.0,2.503404328839185
300,0.017336,0.9193478852264639,1489.0,2.503404328839185
301,0.327301,0.28765461297462547,1337.0,2.503404328839185
302,0.621192,0.17652268022401352,1248.0,2.503404328839185
303,0.043387,0.8393292761184645,1451.0,2.503404328839185
304,0.006887,0.9554010045339013,1491.0,2.503404328839185
305,0.156665,0.6551201912465372,1356.0,2.7378695824762076
306,0.016093,0.9257169283436136,1485.0,2.503404328839185
307,0.956758,0.06173697872592776,1404.0,2.2689390752021623
308,0.077596,0.8011821850847817,1432.0,2.503404328839185
309,0.239273,0.41718223029786816,1395.0,2.503404328839185
310,0.104669,0.4733410087490503,1439.0,2.324269402975702
311,0.458286,0.36999536087460083,1205.0,2.6662317083875493
312,0.439714,0.14071348151771157,1346.0,2.322832083197362
313,0.13771,0.6464032469526845,1369.0,2.503404328839185
314,0.144682,0.4674437264856546,1518.0,2.503404328839185
315,0.081417,0.5435525620260326,1473.0,2.503404328839185
316,0.150286,0.3974107777350828,1438.0,2.503404328839185
317,0.074272,0.7426395570157234,1421.0,2.503404328839185
318,0.575469,0.1354299820828433,1315.0,2.5572973368343845
319,0.020034,0.8886873911043595,1523.0,2.503404328839185
320,0.463291,0.20933731937174216,1265.0,2.5572973368343845
321,0.177796,0.6763213077541022,1334.0,2.503404328839185
322,0.01449,0.9024179401413402,1558.0,2.503404328839185
323,0.20674,0.533599388955434,1425.0,2.503404328839185
324,0.266059,0.4927540396177821,1284.0,2.5287281846376146
325,0.131371,0.6367399725863485,1516.0,2.503404328839185
326,0.020538,0.8989447142400419,1552.0,2.324269402975702
327,0.735864,0.1293131559944558,1415.0,2.503404328839185
328,0.026954,0.8445120427933022,1433.0,2.503404328839185
329,0.011779,0.9387039780462193,1507.0,2.503404328839185
330,0.035739,0.8181128716225571,1431.0,2.503404328839185
331,0.099029,0.811188690571609,1418.0,2.503404328839185
332,0.124762,0.5133934688746977,1466.0,2.503404328839185
333,0.314407,0.27859198103429006,1374.0,2.503404328839185
334,0.057132,0.6644483948757285,1473.0,2.503404328839185
335,0.720785,0.35984597488941206,1079.0,2.7378695824762076
336,0.03036,0.8583560622639657,1472.0,2.503404328839185
337,0.067484,0.7425389844762416,1456.0,2.503404328839185
338,0.744561,0.096176980764484,1220.0,2.5572973368343845
339,0.00871,0.9412347210460991,1493.0,2.4647847023389566
340,0.013273,0.9333224169928769,1511.0,2.503404328839185
341,0.036963,0.8903999735473933,1510.0,2.322832083197362
342,0.287075,0.6560306284678016,1267.0,2.7378695824762076
343,0.325849,0.6498845810065188,1277.0,2.5572973368343845
344,0.803242,0.09813135418687591,1167.0,2.7378695824762076
345,0.063406,0.6531420508211676,1469.0,2.503404328839185
346,0.768503,0.4030089506219551,1258.0,2.503404328839185
347,0.033108,0.8771859041745284,1491.0,2.503404328839185
348,0.053606,0.7653565578360684,1471.0,2.376725091192565
349,0.122486,0.7832784015013148,1426.0,2.3621631270805903
