,MaxAFs,H,total_m,rec_errors
212,0.00014213630872006254,0.9027777777777778,1.0,0.0008118069076381573
213,0.0017767038590007817,0.8179065743944638,7.0,0.7663465532706155
214,0.0025584535569611257,0.8448520710059171,13.0,0.23365344672938448
215,0.002345249093881032,0.8431792674216917,10.0,0.2875464547245876
216,0.000781749697960344,0.9163237311385459,8.0,0.0008118069076381573
217,0.07718001563499396,0.11793980348844246,11.0,0.4681187003664071
218,0.33800014213630875,0.025102930980009153,5.0,0.0008118069076381573
219,0.002345249093881032,0.8007925621094346,9.0,0.23365344672938448
220,0.00035534077180015633,0.8903061224489796,6.0,0.01266192789921572
221,0.22315400469049818,0.03835727283191426,8.0,0.0008118069076381573
222,0.0007106815436003127,0.8135904499540864,6.0,0.23365344672938448
223,0.009096723758084003,0.7621691997024127,14.0,0.3964808262777524
224,0.00504583895956222,0.593875236294896,7.0,0.26059995072698516
225,0.9870655959064744,0.018442324057634685,8.0,0.0008118069076381573
226,0.0009949541610404379,0.8298027757487216,3.0,0.0008118069076381573
227,0.002132044630800938,0.7366666666666667,8.0,0.0008118069076381573
228,0.04143273399189823,0.11248535211047028,7.0,0.23365344672938448
229,0.0014213630872006253,0.8382352941176471,6.0,0.7663465532706155
230,0.12579063321725534,0.05624803767660924,9.0,0.14830211954446604
231,0.008883519295003908,0.4168227731864095,7.0,0.5952209184569011
232,0.000781749697960344,0.8912952936276551,9.0,0.5853513271849184
233,0.009878473456044347,0.4366204986149588,6.0,0.0008118069076381573
234,0.0006396133892402814,0.9150892374256355,9.0,0.23365344672938448
235,0.001847772013360813,0.8196407694760336,9.0,0.0008118069076381573
236,0.0035534077180015633,0.7751322751322751,11.0,0.23365344672938448
237,0.0016345675502807192,0.9035762788592123,14.0,0.2875464547245876
238,0.0012792267784805628,0.8881172839506173,11.0,0.28754645472458673
239,0.0012792267784805628,0.8165680473372782,6.0,0.3827673731814887
240,0.0012081586241205315,0.8350676378772113,7.0,0.23365344672938448
241,0.00561438419444247,0.4609053497942386,5.0,0.0008118069076381573
242,0.0012081586241205315,0.8776331360946745,11.0,0.23365344672938448
243,0.0017056357046407505,0.8020833333333334,7.0,0.7663465532706155
244,0.0024873854026010943,0.8135850694444444,9.0,0.14336732390847384
245,0.0014924312415606567,0.861328125,10.0,0.3937385849677675
246,0.0012081586241205315,0.7971876690102758,6.0,0.5049347956359913
247,0.003126998791841376,0.7121928166351607,6.0,0.0008118069076381573
248,0.0009949541610404379,0.8471148126115406,4.0,0.0008118069076381573
249,0.004193021107241845,0.5926019441989647,10.0,0.23365344672938448
250,0.00014213630872006254,0.9155555555555556,2.0,0.7663465532706155
251,0.005472247885722408,0.5289319790704832,7.0,0.5318812996335929
252,0.00035534077180015633,0.9163237311385459,6.0,0.0008118069076381573
253,0.0037666121810816574,0.5509375000000001,9.0,0.23365344672938448
254,0.0019899083220808757,0.7622268470343393,8.0,0.23365344672938448
255,0.0022741809395210007,0.7848794740686633,10.0,0.6491139264521042
256,0.00042640892616018763,0.9297052154195011,9.0,0.01266192789921572
257,0.005756520503162533,0.7717704603022099,11.0,0.7663465532706155
258,0.0047615663421220955,0.4645557655954633,5.0,0.0008118069076381573
259,0.0019899083220808757,0.7442296866203789,7.0,0.23365344672938448
260,0.0028427261744012507,0.7280276816608995,7.0,0.0530812010875632
261,0.000781749697960344,0.9090236686390533,8.0,0.02451204889079328
262,0.0009949541610404379,0.8279883381924198,6.0,0.0008118069076381573
263,0.005827588657522564,0.36139127156188167,5.0,0.0008118069076381573
264,0.017127425200767536,0.37738331441182404,9.0,0.6075483868641465
265,0.0014213630872006253,0.8095407618369527,5.0,0.2555958703019421
266,0.0019899083220808757,0.8482934694974469,12.0,0.23365344672938448
267,0.0036244758723615947,0.5535503457581379,5.0,0.0008118069076381573
268,0.10802359462724753,0.11321347171845897,6.0,0.0530812010875632
269,0.0014213630872006253,0.847810650887574,8.0,0.23365344672938448
270,0.0005685452348802502,0.8961937716262975,5.0,0.0008118069076381573
271,0.0027005898656811884,0.62939453125,7.0,0.17264048236713858
272,0.040508847985217825,0.10003848272845328,5.0,0.11723262681851132
273,0.0014924312415606567,0.6875,4.0,0.7663465532706155
274,0.0027716580200412193,0.7354590610479088,9.0,0.02694650399760068
275,0.0002842726174401251,0.9201388888888888,4.0,0.23365344672938448
276,0.005259043422642314,0.41300882134126915,4.0,0.0008118069076381573
277,0.007533224362163315,0.6751849700765135,10.0,0.3827673731814887
278,0.008883519295003908,0.5772372387848179,10.0,0.7663465532706155
279,0.013218676710965816,0.2064513175064676,5.0,0.6804939161045058
280,0.00035534077180015633,0.9049586776859504,3.0,0.0008118069076381573
281,0.0006396133892402814,0.8720083246618107,6.0,0.0008118069076381573
282,0.0034823395636415324,0.5106129736163462,5.0,0.7124535452754124
283,0.0005685452348802502,0.8305785123966942,3.0,0.0008118069076381573
284,0.0012792267784805628,0.7857142857142857,5.0,0.0008118069076381573
285,0.010731291308364721,0.30775268687356583,8.0,0.7663465532706155
286,0.004050884798521783,0.6908900340641104,7.0,0.0008118069076381573
287,0.0002842726174401251,0.8858131487889274,3.0,0.0008118069076381573
288,0.00021320446308009382,0.9141274238227147,4.0,0.02694650399760068
289,0.004832634496482126,0.7137755257776014,8.0,0.5318812996335929
290,0.0004974770805202189,0.8645833333333334,5.0,0.23365344672938448
291,0.002132044630800938,0.82125,12.0,0.7663465532706155
292,0.0002842726174401251,0.875,3.0,0.0008118069076381573
293,0.0024873854026010943,0.875,12.0,0.2463153746286002
294,0.0002842726174401251,0.9049586776859504,5.0,0.0008118069076381573
295,0.007320019899083221,0.5304709141274238,11.0,0.7124535452754124
296,0.00042640892616018763,0.8611111111111112,3.0,0.0008118069076381573
297,0.0028427261744012507,0.733968253968254,4.0,0.0008118069076381573
298,0.06907824603795039,0.07733526656824374,5.0,0.0008118069076381573
299,0.0022741809395210007,0.8522000000000001,12.0,0.3827673731814878
300,0.0006396133892402814,0.8839976204640095,6.0,0.0008118069076381573
301,0.0161324710397271,0.3424222084320111,10.0,0.29741604599656846
302,0.010447018690924596,0.508187967248131,8.0,0.0008118069076381573
303,0.0022741809395210007,0.8505546335924534,9.0,0.0008118069076381573
304,0.002132044630800938,0.8171118153010412,9.0,0.2555958703019421
305,0.0036244758723615947,0.41211851191802207,3.0,0.0008118069076381573
