,1,2,3,4,5,6
Population 106,1325430.0,96361745.0,14585867.0,3515419.0,108988.0,
Population 107,67562850.0,47271171.0,1059851.0,900.0,,
Population 108,114033851.0,1804140.0,4168.0,,,
Population 109,29523443.0,85618902.0,770772.0,1581.0,,
Population 110,58600505.0,55805207.0,1470967.0,4514.0,,
Population 111,3265431.0,109734402.0,2862787.0,9491.0,,
Population 112,27883057.0,86719716.0,1299061.0,1990.0,,
Population 113,106497198.0,9284092.0,45579.0,,,
Population 114,114031611.0,1834870.0,4826.0,,,
Population 115,0.0,90993251.0,23984114.0,270348.0,,
Population 116,15921803.0,97900732.0,2063826.0,13076.0,,
Population 117,10848317.0,103772262.0,1290817.0,2972.0,,
Population 118,37845294.0,57637543.0,20263777.0,49106.0,,
Population 119,71819968.0,43271431.0,755524.0,1439.0,,
Population 120,104409159.0,11330449.0,119413.0,318.0,,
Population 121,4623514.0,90578695.0,20588750.0,111224.0,476.0,
Population 122,1182477.0,112070086.0,2614164.0,12884.0,,
Population 123,1336893.0,40052545.0,72662981.0,1874041.0,1948.0,
Population 124,22950650.0,80161467.0,12731275.0,52245.0,,
Population 125,13835971.0,100726769.0,1331581.0,5728.0,,
Population 126,515794.0,111288776.0,4026016.0,22932.0,,
Population 127,34536711.0,80147081.0,1215684.0,3514.0,,
Population 128,3400088.0,109931212.0,2549313.0,12856.0,,
Population 129,44695801.0,69174731.0,2024461.0,8748.0,,
Population 130,0.0,112888887.0,2179833.0,31538.0,,
Population 131,0.0,102762574.0,7768853.0,44846.0,470.0,
Population 132,42232603.0,72151491.0,1507792.0,17280.0,,
Population 133,25359674.0,88397196.0,2150294.0,9230.0,,
Population 134,0.0,77583067.0,31396923.0,141576.0,939.0,
Population 135,13540010.0,99264186.0,3087127.0,11794.0,,
Population 136,52992379.0,62311221.0,599718.0,517.0,,
Population 137,68294379.0,46256593.0,1340350.0,1290.0,,
Population 138,22984115.0,83735070.0,9136323.0,34298.0,6137.0,
Population 139,7158552.0,100779106.0,7932161.0,29969.0,174.0,
Population 140,68839163.0,46297813.0,760946.0,1720.0,,
Population 141,517922.0,113641143.0,1688471.0,2755.0,,
Population 142,0.0,53864036.0,57228269.0,620919.0,1822.0,
Population 143,0.0,6005186.0,102581130.0,2985275.0,4086346.0,23349.0
Population 144,67217482.0,46896324.0,1773679.0,5081.0,,
Population 145,32236.0,13210112.0,100947917.0,1693480.0,2144.0,
Population 146,8900731.0,104800410.0,2182313.0,2700.0,,
Population 147,20611586.0,93098069.0,2201489.0,1620.0,,
Population 148,31631066.0,78564893.0,5681617.0,38529.0,,
Population 149,7814857.0,101832265.0,6168426.0,21724.0,,
Population 150,29191250.0,77268234.0,9344045.0,77084.0,598.0,
Population 151,50129254.0,59232131.0,6446911.0,61951.0,,
Population 152,529628.0,45803380.0,68908704.0,662166.0,122.0,
Population 153,2627781.0,110888526.0,2368439.0,5415.0,,
Population 154,1496152.0,111838472.0,2574199.0,3776.0,,
Population 155,92061849.0,23636168.0,169342.0,,,
Population 156,10907894.0,104333233.0,702842.0,660.0,,
Population 157,31212503.0,79098380.0,5583048.0,32405.0,,
Population 158,0.0,110456069.0,1996085.0,9136.0,,
Population 159,1395315.0,50059513.0,63619941.0,831515.0,1804.0,
Population 160,18437359.0,96612805.0,855240.0,10403.0,,
Population 161,33850715.0,79131407.0,2927535.0,11868.0,,
Population 162,74839317.0,40208361.0,831716.0,2089.0,,
Population 163,28891641.0,85353626.0,1626310.0,19540.0,,
Population 164,83615188.0,31557725.0,708537.0,6015.0,,
Population 165,2413360.0,112194525.0,1277998.0,2183.0,,
