,neutral_MaxAFs,neutral_H,neutral_total_m,neutral_rec_errors
0,0.0019290195411948371,0.9427917101470054,63199.0,1.2431898157231096
1,0.0011069764498588721,0.9782321553179176,63635.0,1.2570980599276922
2,0.0006641257338309726,0.9853174871579427,63341.0,1.221067635117489
3,0.0017815572714976772,0.9444347656489416,63479.0,1.1844667561929718
4,0.003981567190515248,0.8915399453432532,63343.0,1.2709044113185364
5,0.0008600576875148133,0.9712786558528923,63744.0,1.2187664559160591
6,0.004686241826936992,0.8648826327462159,63510.0,1.2110101944252953
7,0.003180082049158036,0.9193413115391852,63036.0,1.2570980599276922
8,0.0004772313745381259,0.9893301655764669,63693.0,1.253885777857965
9,0.0011398193427835587,0.9704125104523518,63328.0,1.1843384052379555
10,0.0006688593027562936,0.9851162555577516,63819.0,1.2431898157231096
11,0.0016511221045409643,0.9539193208155764,63359.0,1.3005663102519254
12,0.0054199364194925555,0.7822192495422947,63329.0,1.2797843351785545
13,0.00044277339820516295,0.9845315241975123,63229.0,1.2982173319433912
14,0.00032507849026160976,0.9910651466303675,63787.0,1.2651386651683723
15,0.0002112666551932745,0.9927525131038367,63229.0,1.2677461456290864
16,0.006653963233846114,0.7891315950717549,63606.0,1.2848329986839673
17,0.003720396176180068,0.8859725885186409,63460.0,1.2846103519926757
18,0.0022410313194139546,0.9334544538759744,63511.0,1.2651386651683723
19,0.000993362204781975,0.97575707380131,63238.0,1.2846103519926757
20,0.007341902857079972,0.8366440900912461,63158.0,1.2709044113185364
21,0.0029644770050223164,0.9180927945875438,62984.0,1.2664725646412514
22,0.0013337152604686678,0.9689322858898468,63192.0,1.2846103519926757
23,0.0005218008039112028,0.9828370922678298,63273.0,1.2260848618119553
24,0.0004414074500034823,0.9906803249165779,62981.0,1.309070513371669
25,0.0006985063923411989,0.9792985202572833,63647.0,1.2226434467740575
26,0.0033791840335740788,0.9092444809633334,63978.0,1.2136100832328456
27,0.0069854848760024435,0.7811257224692957,63412.0,1.2428274702973745
28,0.0025316002881274435,0.9309112582720038,63125.0,1.1635191930911368
29,0.0006475969015037174,0.9816929358947465,63245.0,1.2570980599276922
30,0.0019631510644984675,0.9465099850272995,62805.0,1.2762224979414043
31,0.0012854002121274603,0.9637865362272234,63233.0,1.2379255674396568
32,0.001911425441087655,0.9502177325089383,63620.0,1.2521048314958705
33,0.0008278677006487918,0.9815524106121553,62943.0,1.1846751385501246
34,0.0024181836330419847,0.9367253233605004,62795.0,1.2364939357004125
35,0.009932857460461577,0.7463819574757292,63701.0,1.2150615542014194
36,0.001374556252612,0.9661336988765491,63242.0,1.2397538059785855
37,0.0006477343554108048,0.9786920761990062,63488.0,1.2431898157231096
38,0.0006677167171536299,0.9781557382845609,63070.0,1.2304269353221748
39,0.0025374334883094636,0.9063031465080605,63061.0,1.23762671775685
40,0.026685722474530802,0.4391480431996284,63015.0,1.2516663453672532
41,0.004991123183725952,0.8497564693304899,63332.0,1.2600960604517812
42,0.002850278580840298,0.9198281093940116,63005.0,1.2316013959390695
43,0.0007276638023821054,0.9838002499174325,63201.0,1.2291781635492285
44,0.016503154219237454,0.6028447145679806,63047.0,1.2325136381458464
45,0.0025628195067746605,0.9312941906761809,63293.0,1.24897483267776
46,0.004018456382829818,0.8696933683821298,63567.0,1.2431898157231096
47,0.0017999846859165767,0.9564328706031138,63636.0,1.2666695626029316
48,0.004696026826947773,0.8551460063301525,63390.0,1.200838403398052
