,1,2,3
Population 0,139.0,,
Population 1,17.0,,
Population 2,35.0,,
Population 3,155.0,,
Population 4,661.0,2.0,
Population 5,47.0,,
Population 6,112.0,,
Population 7,1119.0,4.0,
Population 8,3641.0,4.0,
Population 9,46.0,,
Population 10,186.0,,
Population 11,40.0,,
Population 12,116.0,,
Population 13,102.0,,
Population 14,64.0,,
Population 15,82.0,,
Population 16,47.0,10.0,
Population 17,53.0,,
Population 18,137.0,,
Population 19,258.0,1.0,
Population 20,69.0,,
Population 21,64.0,,
Population 22,1208.0,2.0,
Population 23,89.0,,
Population 24,25.0,,
Population 25,172.0,,
Population 26,61.0,,
Population 27,72.0,,
Population 28,138.0,,
Population 29,87.0,,
Population 30,252.0,,
Population 31,68.0,,
Population 32,86.0,,
Population 33,29.0,,
Population 34,531.0,1.0,
Population 35,51.0,,
Population 36,58.0,2.0,
Population 37,33.0,,
Population 38,2465.0,7.0,
Population 39,234.0,1.0,
Population 40,75.0,,
Population 41,176.0,,
Population 42,29.0,,
Population 43,37.0,,
Population 44,473.0,,
Population 45,49.0,,
Population 46,156.0,,
Population 47,62.0,,
Population 48,20.0,,
Population 49,18.0,,
Population 50,49.0,,
Population 51,28.0,1.0,
Population 52,56.0,,
Population 53,35.0,,
Population 54,139.0,2.0,
Population 55,1729.0,1.0,
Population 56,193.0,3.0,
Population 57,34.0,,
Population 58,1875.0,2.0,
Population 59,414.0,,
Population 60,24.0,,
Population 61,64.0,,
Population 62,47.0,,
Population 63,55.0,,
Population 64,42.0,,
Population 65,79.0,,
Population 66,28.0,,
Population 67,44.0,,
Population 68,488.0,,
Population 69,81.0,,
Population 70,42.0,,
Population 71,28.0,,
Population 72,18.0,,
Population 73,129.0,1.0,
Population 74,68.0,,
Population 75,30.0,1.0,
Population 76,187.0,1.0,
Population 77,33.0,,
Population 78,19.0,,
Population 79,282.0,,
Population 80,154.0,,
Population 81,1349.0,3.0,
Population 82,180.0,,
Population 83,31.0,,
Population 84,278.0,,
Population 85,499.0,60.0,
Population 86,39.0,,
Population 87,34.0,,
Population 88,67.0,,
Population 89,205.0,,
Population 90,940.0,1.0,
Population 91,23.0,,
Population 92,2287.0,3.0,
Population 93,66.0,,
Population 94,49.0,,
Population 95,80.0,,
Population 96,72.0,,
Population 97,27.0,,
Population 98,117.0,,
Population 99,31.0,,
Population 100,66.0,,
Population 101,81.0,,
Population 102,370.0,1.0,
Population 103,135.0,,
Population 104,5779.0,232.0,
Population 105,55.0,,
Population 106,64.0,,
Population 107,184.0,,
Population 108,40.0,,
Population 109,99.0,,
Population 110,32.0,,
Population 111,80.0,,
Population 112,467.0,,
Population 113,49.0,,
Population 114,66.0,,
Population 115,32.0,,
Population 116,63.0,,
Population 117,40.0,,
Population 118,27.0,,
Population 119,154.0,,
Population 120,47.0,,
Population 121,93.0,,
Population 122,77.0,,
Population 123,176.0,,
Population 124,226.0,1.0,
Population 125,101.0,,
Population 126,178.0,,
Population 127,35.0,,
Population 128,113.0,,
Population 129,34.0,,
Population 130,50.0,,
Population 131,18.0,,
Population 132,173.0,,
Population 133,60.0,,
Population 134,30.0,,
Population 135,188.0,1.0,
Population 136,134.0,,
Population 137,18.0,,
Population 138,134.0,,
Population 139,45.0,,
Population 140,56.0,,
Population 141,33.0,,
Population 142,64.0,,
Population 143,1922.0,2.0,
Population 144,124.0,,
Population 145,61.0,,
Population 146,110.0,,
Population 147,130.0,,
Population 148,338.0,,
Population 149,557.0,2.0,
Population 150,618.0,,
Population 151,29.0,,
Population 152,573.0,,
Population 153,68.0,,
Population 154,264.0,,
Population 155,45.0,,
Population 156,153.0,,
Population 157,68.0,,
Population 158,197.0,,
Population 159,63.0,,
Population 160,209.0,1.0,
Population 161,77.0,,
Population 162,146.0,1.0,
Population 163,490.0,,
Population 164,211.0,,
Population 165,24.0,,
Population 166,81.0,,
Population 167,7230.0,25.0,
Population 168,113.0,,
Population 169,62.0,,
Population 170,69.0,,
Population 171,9208.0,163.0,
Population 172,25.0,,
Population 173,1111.0,3.0,
Population 174,57.0,,
Population 175,102.0,,
Population 176,78.0,,
Population 177,113.0,,
Population 178,58.0,,
Population 179,32.0,,
Population 180,243.0,1.0,
Population 181,93.0,,
Population 182,60.0,,
Population 183,73.0,,
Population 184,257.0,,
Population 185,48.0,,
Population 186,247.0,,
Population 187,49.0,,
Population 188,38.0,,
Population 189,364.0,5.0,
Population 190,38.0,,
Population 191,15.0,,
Population 192,121.0,1.0,
Population 193,866.0,1.0,
Population 194,62.0,,
Population 195,30.0,,
Population 196,79.0,,
Population 197,26.0,,
Population 198,448.0,,
Population 199,366.0,,
Population 200,1886.0,7.0,
Population 201,76.0,,
Population 202,131.0,,
Population 203,20.0,,
Population 204,179.0,,
Population 205,566.0,,
Population 206,54.0,,
Population 207,23.0,,
Population 208,39.0,,
Population 209,157.0,1.0,
Population 210,200.0,,
Population 211,81.0,1.0,
Population 212,27.0,,
Population 213,1474.0,3.0,
Population 214,20.0,,
Population 215,177.0,,
Population 216,64.0,,
Population 217,32.0,,
Population 218,38.0,,
Population 219,83.0,,
Population 220,17.0,,
Population 221,427.0,,
Population 222,236.0,1.0,
Population 223,90.0,,
Population 224,39.0,,
Population 225,115.0,,
Population 226,65.0,,
Population 227,58.0,,
Population 228,55.0,1.0,
Population 229,57.0,,
Population 230,62.0,,
Population 231,23.0,,
Population 232,4437.0,11.0,
Population 233,75.0,,
Population 234,28.0,,
Population 235,5509.0,24.0,
Population 236,569.0,1.0,
Population 237,182.0,1.0,
Population 238,44.0,,
Population 239,104.0,,
Population 240,68.0,,
Population 241,63.0,,
Population 242,15.0,,
Population 243,46.0,,
Population 244,169.0,,
Population 245,154.0,,
Population 246,454.0,,
Population 247,64.0,,
Population 248,14.0,,
Population 249,98.0,,
Population 250,191.0,,
Population 251,15.0,,
Population 252,104.0,,
Population 253,41.0,1.0,
Population 254,43.0,,
Population 255,96.0,,
Population 256,28.0,,
Population 257,219.0,,
Population 258,100.0,,
Population 259,146.0,,
Population 260,103.0,,
Population 261,64.0,,
Population 262,31.0,,
Population 263,1572.0,6.0,
Population 264,90.0,,
Population 265,19.0,,
Population 266,70.0,,
Population 267,201.0,,
Population 268,109.0,,
Population 269,20.0,,
Population 270,683.0,3.0,
Population 271,119.0,,
Population 272,25.0,,
Population 273,38.0,,
Population 274,204.0,,
Population 275,359.0,,
Population 276,34.0,,
Population 277,50.0,,
Population 278,89.0,1.0,
Population 279,76.0,,
Population 280,134.0,,
Population 281,64.0,,
Population 282,46.0,,
Population 283,108.0,,
Population 284,28.0,,
Population 285,36.0,,
Population 286,38.0,,
Population 287,9928.0,24.0,
Population 288,92.0,,
Population 289,62.0,,
Population 290,106.0,,
Population 291,4319.0,8.0,
Population 292,446.0,,
Population 293,26.0,,
Population 294,45.0,,
Population 295,165.0,,
Population 296,50.0,,
Population 297,37.0,,
Population 298,20.0,,
Population 299,831.0,,
Population 300,313.0,1.0,
Population 301,23.0,,
Population 302,619.0,3.0,
Population 303,68.0,,
Population 304,259.0,,
Population 305,159.0,,
Population 306,145.0,,
Population 307,106.0,,
Population 308,29.0,1.0,
Population 309,51.0,,
Population 310,104.0,,
Population 311,1333.0,3.0,
Population 312,34.0,,
Population 313,325.0,,
Population 314,48.0,,
