,1,2,3,4,5
Population 143,845093.0,8845.0,16.0,,
Population 144,818046.0,18555.0,74.0,,
Population 145,756594.0,33558.0,184.0,,
Population 146,843150.0,71306.0,270.0,,
Population 147,877466.0,118891.0,3200.0,,
Population 148,905179.0,20429.0,63.0,,
Population 149,752422.0,8544.0,55.0,,
Population 150,697030.0,90735.0,895.0,,
Population 151,685007.0,14056.0,294.0,,
Population 152,892194.0,94001.0,240.0,,
Population 153,719405.0,19944.0,62.0,,
Population 154,782419.0,177292.0,1466.0,1.0,
Population 155,730268.0,31343.0,98.0,,
Population 156,700639.0,89564.0,367.0,,
Population 157,932209.0,24785.0,81.0,,
Population 158,188100.0,744038.0,45682.0,218.0,
Population 159,374577.0,4332.0,5.0,,
Population 160,876915.0,107967.0,3477.0,4.0,
Population 161,639039.0,62572.0,2574.0,3.0,
Population 162,934244.0,63959.0,274.0,1.0,
Population 163,688876.0,7794.0,52.0,,
Population 164,665380.0,14832.0,36.0,,
Population 165,762076.0,20092.0,15.0,,
Population 166,717884.0,48457.0,188.0,,
Population 167,915603.0,11835.0,120.0,,
Population 168,929130.0,58265.0,289.0,,
Population 169,771476.0,11886.0,19.0,,
Population 170,783672.0,175316.0,3177.0,18.0,
Population 171,155910.0,710455.0,27778.0,170.0,
Population 172,957223.0,29735.0,60.0,,
Population 173,779023.0,46239.0,181.0,,
Population 174,801838.0,139663.0,988.0,3.0,
Population 175,906737.0,79266.0,2360.0,3.0,
Population 176,936819.0,31564.0,167.0,,
Population 177,445836.0,101857.0,459.0,,
Population 178,9818.0,952054.0,34524.0,2441.0,
Population 179,973853.0,15532.0,27.0,,
Population 180,628092.0,8394.0,16.0,,
Population 181,908259.0,16966.0,45.0,,
Population 182,398544.0,77603.0,808.0,,
Population 183,852530.0,10053.0,28.0,,
Population 184,798429.0,15436.0,28.0,,
Population 185,114070.0,845362.0,6806.0,252.0,
Population 186,954389.0,30687.0,236.0,,
Population 187,635994.0,30769.0,120.0,,
Population 188,782687.0,22308.0,142.0,,
Population 189,725314.0,16350.0,77.0,,
Population 190,922102.0,48787.0,426.0,11.0,
Population 191,888909.0,25192.0,126.0,,
Population 192,941545.0,32786.0,75.0,,
Population 193,901237.0,36510.0,103.0,,
Population 194,842069.0,11466.0,38.0,,
Population 195,588421.0,78965.0,673.0,,
Population 196,497585.0,273133.0,1132.0,,
Population 197,902503.0,95288.0,725.0,2.0,
Population 198,587766.0,14981.0,362.0,,
Population 199,848486.0,13164.0,65.0,,
Population 200,884397.0,38567.0,235.0,,
Population 201,770276.0,14665.0,32.0,,
Population 202,361642.0,6422.0,44.0,,
Population 203,863411.0,34444.0,237.0,,
Population 204,342035.0,6410.0,9.0,,
Population 205,765285.0,25598.0,30.0,,
Population 206,590790.0,45625.0,484.0,3.0,
Population 207,707429.0,169049.0,2093.0,5.0,
Population 208,690759.0,15433.0,50.0,,
Population 209,531080.0,26447.0,146.0,,
Population 210,590719.0,16746.0,20.0,,
Population 211,854835.0,98283.0,401.0,3.0,
Population 212,391710.0,37196.0,173.0,,
Population 213,886346.0,37387.0,270.0,,
Population 214,830093.0,33525.0,158.0,,
Population 215,776989.0,11856.0,27.0,,
Population 216,813865.0,12994.0,28.0,,
Population 217,539262.0,409381.0,2115.0,2.0,
Population 218,769373.0,17087.0,141.0,,
Population 219,901620.0,11861.0,45.0,,
Population 220,654766.0,90666.0,278.0,,
Population 221,654401.0,58187.0,180.0,,
Population 222,865301.0,30211.0,60.0,,
Population 223,844028.0,45120.0,227.0,,
Population 224,890007.0,36519.0,86.0,,
Population 225,611735.0,132090.0,751.0,,
Population 226,916599.0,60240.0,296.0,1.0,
Population 227,703661.0,5251.0,8.0,,
Population 228,826447.0,47253.0,172.0,,
Population 229,622764.0,370757.0,4253.0,7.0,
Population 230,577105.0,6835.0,14.0,,
Population 231,255960.0,484908.0,1880.0,,
Population 232,847915.0,13467.0,64.0,,
Population 233,792926.0,21040.0,54.0,,
Population 234,947035.0,40434.0,153.0,,
Population 235,820434.0,7454.0,17.0,,
Population 236,852863.0,79381.0,17763.0,33.0,
Population 237,796452.0,73477.0,266.0,,
Population 238,850154.0,136103.0,733.0,3.0,
Population 239,633170.0,18115.0,39.0,,
Population 240,785270.0,17782.0,48.0,,
Population 241,647116.0,14209.0,380.0,6.0,
Population 242,655364.0,58584.0,230.0,,
Population 243,714361.0,105037.0,360.0,2.0,
Population 244,613481.0,127754.0,670.0,,
Population 245,931830.0,48846.0,129.0,,
Population 246,896304.0,10500.0,5.0,,
Population 247,809991.0,34959.0,1839.0,13.0,
Population 248,792097.0,43789.0,188.0,,
Population 249,938193.0,11073.0,63.0,,
Population 250,538532.0,14728.0,46.0,,
Population 251,340168.0,429143.0,9127.0,126.0,
Population 252,718348.0,66916.0,199.0,,
Population 253,891640.0,92751.0,1376.0,,
Population 254,631847.0,327864.0,8059.0,16.0,
Population 255,677069.0,50060.0,14077.0,17.0,
Population 256,801330.0,36258.0,194.0,,
Population 257,905670.0,12531.0,82.0,,
Population 258,461158.0,45143.0,52.0,,
Population 259,671088.0,8716.0,31.0,,
Population 260,697389.0,27822.0,87.0,,
Population 261,962527.0,7936.0,53.0,,
Population 262,465097.0,3728.0,,,
Population 263,602060.0,30775.0,227.0,1.0,
Population 264,643027.0,53009.0,1783.0,,
Population 265,61213.0,791334.0,29941.0,114.0,
Population 266,850849.0,85473.0,1214.0,5.0,
Population 267,660804.0,24355.0,65.0,,
Population 268,586977.0,12578.0,20.0,,
Population 269,843471.0,145907.0,882.0,,
Population 270,873078.0,84003.0,562.0,,
Population 271,695834.0,67541.0,249.0,,
Population 272,929698.0,12949.0,164.0,,
Population 273,912624.0,19686.0,100.0,,
Population 274,979262.0,12971.0,54.0,,
Population 275,725254.0,73069.0,300.0,1.0,
Population 276,709149.0,12433.0,31.0,,
Population 277,922440.0,8140.0,42.0,,
Population 278,679074.0,84197.0,552.0,4.0,
Population 279,301969.0,3719.0,7.0,,
Population 280,705595.0,24245.0,484.0,,
Population 281,755961.0,56945.0,239.0,,
Population 282,921339.0,39050.0,126.0,,
Population 283,3411.0,934108.0,61418.0,695.0,
Population 284,816405.0,174251.0,1221.0,83.0,
Population 285,872730.0,45145.0,439.0,,
