,selection_0p01_MaxAFs,selection_0p01_H,selection_0p01_total_m,selection_0p01_rec_errors
0,0.005459,0.864941845248108,1184.0,1.503404328839185
1,0.005894,0.8876257589004729,1145.0,1.3864083884276113
2,0.004844,0.8535209574594105,1062.0,1.503404328839185
3,0.001904,0.9649078034424433,1094.0,1.499281340110831
4,0.003859,0.9302770081655024,1127.0,1.503404328839185
5,0.002336,0.9423181025275899,1066.0,1.4621754312345896
6,0.007158,0.8161571644486935,1141.0,1.503404328839185
7,0.000859,0.9793481244125446,1124.0,1.4509486406223218
8,0.240286,0.10526100575011854,1075.0,1.503404328839185
9,0.001343,0.9698839238090883,1100.0,1.3242694029757018
10,0.026256,0.4953703003519182,1061.0,1.503404328839185
11,0.001832,0.9590778666071585,1150.0,1.503404328839185
12,0.001455,0.9756556166422878,1176.0,1.503404328839185
13,0.007213,0.8450212698940457,1063.0,1.503404328839185
14,0.000654,0.985204781887114,1074.0,1.503404328839185
15,0.019206,0.6920062427658147,1089.0,1.503404328839185
16,0.000623,0.9864420725560925,1127.0,1.4412653433872755
17,0.026369,0.6139496597315169,1102.0,1.499281340110831
18,0.00468,0.901595357614744,1092.0,1.503404328839185
19,0.001172,0.9671723795187753,1085.0,1.503404328839185
20,0.013332,0.69752713285972,1080.0,1.3242694029757018
21,0.001599,0.968909374292646,1123.0,1.503404328839185
22,0.017685,0.8390388500764776,1105.0,1.503404328839185
23,0.002091,0.9507225489456943,1085.0,1.376170315165389
24,0.001239,0.9733015160976652,1153.0,1.3242694029757018
25,0.024183,0.6657650064861864,1145.0,1.503404328839185
26,0.007354,0.8104497821835867,1127.0,1.503404328839185
27,0.001029,0.9820349756402186,1085.0,1.2606930977454525
28,0.000672,0.982704505298852,1144.0,1.4087178292763323
29,0.006023,0.9023236709558151,1155.0,1.503404328839185
30,0.019071,0.5912426824587167,1174.0,1.503404328839185
31,0.006326,0.8952017973378106,1118.0,1.4412653433872755
32,0.001297,0.9715564953923749,1176.0,1.503404328839185
33,0.003271,0.9240390858278933,1116.0,1.503404328839185
34,0.000131,0.9959010205497887,1150.0,1.4412653433872755
35,0.001893,0.9590366644789019,1137.0,1.503404328839185
36,0.000833,0.9810890249702169,1102.0,1.503404328839185
37,0.002467,0.9431849661463338,1105.0,1.4412653433872755
38,0.000528,0.9853570934256055,1046.0,1.503404328839185
39,0.003229,0.9321737549246516,1109.0,1.3242694029757018
40,0.004351,0.9200238304717088,1145.0,1.4412653433872755
41,0.002901,0.9532633790519601,1143.0,1.503404328839185
42,0.001257,0.9663327055668692,1101.0,1.503404328839185
43,0.001417,0.9631265187696598,1125.0,1.2606930977454525
