,neutral_MaxAFs,neutral_H,neutral_total_m,neutral_rec_errors
315,0.036438,0.4284475820823841,1016.0,0.9723348361132302
316,0.000761,0.980456247885211,1072.0,0.9723348361132302
317,0.00047,0.987797610733751,1120.0,0.9723348361132302
318,0.000826,0.9780643152040456,1081.0,0.9723348361132302
319,0.028742,0.5129388994363379,1093.0,0.9976586919116599
320,0.007567,0.8138407207558432,1054.0,0.9723348361132302
321,0.001572,0.9554196704471253,1122.0,1.047983973644051
322,0.003046,0.8818556749170406,1042.0,0.9723348361132302
323,0.00355,0.9191345041428237,1031.0,0.9723348361132302
324,0.002313,0.9418448375070823,1082.0,0.9976586919116599
325,0.016415,0.6036003575447626,988.0,0.9723348361132302
326,0.000817,0.9822083400014118,1070.0,1.1129611584837926
327,0.002412,0.9298764661838572,1043.0,0.9723348361132302
328,0.000503,0.988259534479016,1064.0,0.9849967640124451
329,0.001756,0.9575985527038574,1001.0,1.0849625007211552
330,0.001121,0.9767118693366271,1071.0,1.0483064035085228
331,0.00117,0.9735840350212691,1083.0,0.9940909656488515
332,0.001593,0.9600123510685096,1092.0,0.9723348361132302
333,0.004919,0.8954752276513482,1135.0,0.9976586919116599
334,0.00099,0.9743224729663713,1023.0,0.9723348361132302
335,0.002572,0.9235587837094045,1066.0,0.9723348361132302
336,0.002627,0.9150446246989038,1059.0,0.9723348361132302
337,0.004389,0.9023707467260876,1079.0,0.9723348361132302
338,0.133068,0.14613481087255942,1114.0,0.9723348361132302
339,0.001521,0.9600840105527899,1087.0,0.9723348361132302
340,0.001298,0.9637366132302787,1021.0,0.9723348361132302
341,0.000363,0.9888781281330342,1045.0,0.9723348361132302
342,0.002471,0.9197549378966916,1060.0,0.9976586919116599
343,0.012576,0.7120244701658218,1052.0,1.0262278441084298
344,0.004805,0.8561665142755889,1060.0,0.9723348361132302
345,0.000556,0.9867051719779594,1011.0,0.9723348361132302
346,0.001718,0.9593196780516542,1058.0,1.0262278441084298
347,0.00874,0.8101154894747851,1043.0,0.9820181333482765
348,0.001796,0.9436590088911966,1039.0,0.9723348361132302
349,0.005734,0.7908175713807184,986.0,0.9723348361132302
350,0.010814,0.8134757836708298,1075.0,1.0898041493386792
351,0.00045,0.9863288600137643,1087.0,0.9976586919116599
352,0.00145,0.9616995549720958,1019.0,0.9723348361132302
353,0.004825,0.84284492758643,1084.0,1.0262278441084298
354,0.000432,0.9870014706232331,1047.0,1.0262278441084298
355,0.002174,0.9378004902101993,1032.0,0.9723348361132302
356,0.013012,0.6146573135450228,1097.0,0.9723348361132302
357,0.001439,0.9568192636956276,1039.0,1.0262278441084298
358,0.00221,0.9334630791205505,1055.0,1.0262278441084298
359,0.003635,0.8910792443333181,994.0,0.9723348361132302
360,0.003905,0.8844447942251885,1043.0,0.9976586919116599
361,0.000544,0.9809251526185683,1019.0,0.9723348361132302
362,0.033545,0.4507339997350438,1100.0,0.9723348361132302
363,0.001265,0.9690891504880984,1044.0,1.0262278441084298
364,0.009139,0.753542744891553,1097.0,1.0262278441084298
365,0.001424,0.9666581031264236,1062.0,0.9723348361132302
366,0.002556,0.9278628404257734,1016.0,1.1824617269275794
367,0.004146,0.8933230928434177,1075.0,0.9976586919116599
368,0.009128,0.704353447200661,1105.0,1.0262278441084298
369,0.000702,0.9774685883366372,1083.0,0.9723348361132302
370,0.000871,0.9783729460255132,1029.0,1.0801208521036312
371,0.022473,0.5305918911696104,1061.0,1.0898041493386792
372,0.001147,0.970831490748949,1051.0,1.0262278441084298
373,0.00049,0.9872290985875054,1088.0,1.0262278441084298
374,0.00125,0.9680896345718206,1014.0,0.9723348361132302
375,0.001296,0.9598202730784583,1091.0,0.9723348361132302
376,0.003869,0.8800119015332472,1002.0,0.9723348361132302
377,0.0003,0.9918217935803642,1088.0,0.9723348361132302
378,0.001126,0.9648679338674273,1060.0,1.0119432680100449
379,0.002579,0.9139977596099362,1072.0,0.9723348361132302
380,0.006107,0.833597841808839,1019.0,0.9723348361132302
381,0.001806,0.9531283313844453,1103.0,0.9723348361132302
382,0.000735,0.9814531977078425,1069.0,0.9976586919116599
383,0.000301,0.9907256002047358,1084.0,0.9723348361132302
384,0.000408,0.9903538257065271,1076.0,0.9976586919116599
385,0.00096,0.9753647606733817,1079.0,0.9723348361132302
386,0.00042,0.9865420594823568,1035.0,1.0262278441084298
387,0.017128,0.5562601466192303,1068.0,0.9723348361132302
388,0.000676,0.9830779855276748,1018.0,0.9976586919116599
389,0.007194,0.829904327865798,1106.0,0.9723348361132302
