,1,2,3,4,5
Population 126,111620760.0,1393973.0,4907.0,,
Population 127,86215399.0,10832235.0,75367.0,,
Population 128,95523046.0,573774.0,772.0,,
Population 129,91577938.0,4486719.0,9700.0,,
Population 130,99326868.0,2854159.0,6727.0,,
Population 131,96023196.0,1151269.0,3262.0,,
Population 132,84398008.0,25221423.0,214803.0,100.0,
Population 133,81243521.0,1357732.0,12077.0,,
Population 134,46886782.0,6280614.0,51425.0,,
Population 135,75692828.0,3386778.0,115723.0,,
Population 136,106260163.0,5557341.0,14460.0,,
Population 137,88062189.0,7421595.0,73306.0,,
Population 138,93708537.0,8176605.0,117311.0,294.0,
Population 139,64968136.0,807657.0,3163.0,,
Population 140,33785539.0,31723980.0,162558.0,133.0,
Population 141,110309235.0,5322853.0,34398.0,,
Population 142,104957136.0,9134803.0,59556.0,125.0,
Population 143,97928866.0,1011721.0,3131.0,,
Population 144,94749956.0,2171557.0,7761.0,,
Population 145,87718237.0,3934784.0,22095.0,,
Population 146,97712779.0,8255438.0,29516.0,,
Population 147,101722239.0,13718646.0,370307.0,,
Population 148,104872956.0,2365473.0,7295.0,,
Population 149,87252612.0,982930.0,6683.0,,
Population 150,80719948.0,10514806.0,103535.0,,
Population 151,79377642.0,1629382.0,34292.0,,
Population 152,103392297.0,10897230.0,29499.0,,
Population 153,83378063.0,2302379.0,7113.0,,
Population 154,90611386.0,20582458.0,170222.0,386.0,
Population 155,84624483.0,3657129.0,9039.0,,
Population 156,81310725.0,10409437.0,45985.0,,
Population 157,108021756.0,2878541.0,7716.0,307.0,
Population 158,21758471.0,86308930.0,5273922.0,23882.0,
Population 159,43374560.0,494131.0,499.0,,
Population 160,101557695.0,12547767.0,394368.0,914.0,
Population 161,74073721.0,7248167.0,311411.0,617.0,
Population 162,108246923.0,7411520.0,33909.0,102.0,
Population 163,79931080.0,893134.0,5223.0,,
Population 164,77154524.0,1696352.0,4422.0,,
Population 165,88283777.0,2306823.0,2634.0,,
Population 166,83173522.0,5624193.0,18847.0,,
Population 167,106143451.0,1366485.0,12744.0,,
Population 168,107691888.0,6717266.0,32593.0,,
Population 169,89384481.0,1363957.0,2991.0,,
Population 170,90773223.0,20347938.0,353212.0,1962.0,
Population 171,18080327.0,82368673.0,3214084.0,15741.0,
Population 172,110893181.0,3441973.0,7698.0,,
Population 173,90248519.0,5344522.0,21276.0,,
Population 174,92885735.0,16215472.0,120808.0,109.0,
Population 175,105071347.0,9205668.0,270867.0,359.0,
Population 176,108493860.0,3671968.0,22656.0,,
Population 177,51687684.0,11777891.0,54624.0,,
Population 178,1132416.0,110316775.0,3982353.0,292597.0,
Population 179,112834097.0,1825173.0,3606.0,,
Population 180,72715309.0,974129.0,1461.0,,
Population 181,105237875.0,2004580.0,6181.0,,
Population 182,46067243.0,9028525.0,94355.0,,
Population 183,98771357.0,1163307.0,2959.0,,
Population 184,92420312.0,1775365.0,3474.0,,
Population 185,13136732.0,98048604.0,788387.0,28393.0,
Population 186,110526383.0,3581800.0,26704.0,,
Population 187,73725719.0,3523807.0,13780.0,,
Population 188,90689489.0,2600381.0,17394.0,,
Population 189,84044463.0,1877518.0,7373.0,,
Population 190,106871157.0,5640194.0,50614.0,927.0,
Population 191,102993874.0,2896846.0,14830.0,,
Population 192,109050483.0,3813460.0,10284.0,,
Population 193,104449271.0,4229479.0,10953.0,,
Population 194,97591762.0,1326514.0,4566.0,,
Population 195,68185737.0,9175761.0,77856.0,294.0,
Population 196,57705125.0,31605022.0,134198.0,,
Population 197,104508653.0,11091105.0,84900.0,439.0,
Population 198,68183685.0,1713321.0,41126.0,,
Population 199,98416420.0,1522521.0,6430.0,,
Population 200,102565692.0,4452396.0,26780.0,,
Population 201,89352149.0,1676058.0,4413.0,,
Population 202,41936324.0,745611.0,4942.0,,
Population 203,100065221.0,3998409.0,27380.0,,
Population 204,39566899.0,741509.0,878.0,,
Population 205,88733392.0,2953020.0,3025.0,,
Population 206,68494538.0,5266392.0,60364.0,193.0,
Population 207,81951772.0,19598505.0,230831.0,197.0,
Population 208,80051514.0,1780014.0,6807.0,,
Population 209,61586428.0,3063557.0,14889.0,,
Population 210,68445469.0,1953912.0,2803.0,,
Population 211,99019682.0,11428501.0,48064.0,150.0,
Population 212,45354618.0,4289218.0,20961.0,,
Population 213,102688206.0,4326926.0,29459.0,,
Population 214,96136871.0,3923971.0,21161.0,,
Population 215,90064691.0,1376513.0,3791.0,,
Population 216,94356330.0,1500526.0,3395.0,,
Population 217,62599091.0,47361514.0,251947.0,217.0,
Population 218,89215300.0,1990770.0,16313.0,,
Population 219,104460413.0,1383899.0,6067.0,,
Population 220,75866229.0,10498849.0,31593.0,,
Population 221,75920400.0,6733923.0,22054.0,,
Population 222,100237286.0,3509277.0,8885.0,,
Population 223,97787448.0,5255199.0,26252.0,,
