,1,2,3
Population 0,40.0,,
Population 1,29.0,,
Population 2,152.0,2.0,
Population 3,246.0,,
Population 4,170.0,,
Population 5,218.0,,
Population 6,174.0,,
Population 7,28.0,,
Population 8,151.0,,
Population 9,63.0,,
Population 10,64.0,,
Population 11,36.0,,
Population 12,24.0,,
Population 13,44.0,,
Population 14,36.0,,
Population 15,17.0,,
Population 16,78.0,,
Population 17,118.0,,
Population 18,101.0,,
Population 19,71.0,,
Population 20,49.0,,
Population 21,178.0,,
Population 22,32.0,,
Population 23,56.0,,
Population 24,117.0,,
Population 25,129.0,,
Population 26,22.0,,
Population 27,21.0,,
Population 28,55.0,,
Population 29,29.0,,
Population 30,34.0,,
Population 31,96.0,,
Population 32,82.0,,
Population 33,104.0,,
Population 34,251.0,,
Population 35,95.0,,
Population 36,508.0,,
Population 37,77.0,,
Population 38,804.0,,
Population 39,261.0,,
Population 40,25.0,,
Population 41,407.0,1.0,
Population 42,23.0,,
Population 43,65.0,,
Population 44,155.0,,
Population 45,689.0,,
Population 46,85.0,,
Population 47,101.0,,
Population 48,40.0,,
Population 49,58.0,,
Population 50,110.0,1.0,
Population 51,337.0,,
Population 52,45.0,,
Population 53,34.0,,
Population 54,35.0,,
Population 55,119.0,,
Population 56,59.0,1.0,
Population 57,137.0,2.0,
Population 58,29.0,,
Population 59,26.0,,
Population 60,52.0,,
Population 61,56.0,,
Population 62,280.0,,
Population 63,60.0,,
Population 64,97.0,,
Population 65,99.0,,
Population 66,39.0,,
Population 67,61.0,,
Population 68,153.0,,
Population 69,52.0,,
Population 70,91.0,,
Population 71,95.0,,
Population 72,21.0,,
Population 73,72.0,,
Population 74,38.0,,
Population 75,95.0,,
Population 76,85.0,,
Population 77,76.0,,
Population 78,194.0,3.0,
Population 79,72.0,,
Population 80,31.0,,
Population 81,150.0,,
Population 82,107.0,,
Population 83,405.0,1.0,
Population 84,77.0,,
Population 85,75.0,,
Population 86,325.0,1.0,
Population 87,93.0,,
Population 88,726.0,2.0,
Population 89,96.0,,
Population 90,21.0,,
Population 91,110.0,,
Population 92,90.0,8.0,
Population 93,58.0,,
Population 94,27.0,,
Population 95,77.0,,
Population 96,24.0,,
Population 97,100.0,,
Population 98,94.0,2.0,
Population 99,48.0,,
Population 100,106.0,,
Population 101,120.0,,
Population 102,118.0,,
Population 103,82.0,,
Population 104,51.0,,
Population 105,84.0,,
Population 106,892.0,,
Population 107,67.0,,
Population 108,25.0,,
Population 109,6469.0,10.0,
Population 110,411.0,,
Population 111,21.0,,
Population 112,33.0,,
Population 113,43.0,,
Population 114,61.0,,
Population 115,80.0,,
Population 116,124.0,,
Population 117,66.0,,
Population 118,27.0,,
Population 119,42.0,,
Population 120,98.0,,
Population 121,250.0,,
Population 122,110.0,1.0,
Population 123,523.0,,
Population 124,498.0,,
Population 125,5355.0,31.0,
Population 126,20.0,,
Population 127,148.0,1.0,
Population 128,43.0,,
Population 129,152.0,,
Population 130,88.0,,
Population 131,332.0,,
Population 132,150.0,1.0,
Population 133,49.0,,
Population 134,50.0,,
Population 135,27.0,,
Population 136,156.0,,
Population 137,57.0,4.0,
Population 138,18.0,,
Population 139,35.0,,
Population 140,507.0,1.0,
Population 141,608.0,2.0,
Population 142,45.0,,
Population 143,25.0,,
Population 144,56.0,,
Population 145,39.0,,
Population 146,236.0,,
Population 147,125.0,,
Population 148,354.0,1.0,
Population 149,149.0,,
Population 150,160.0,,
Population 151,254.0,,
Population 152,51.0,,
Population 153,22.0,,
Population 154,363.0,1.0,
Population 155,60.0,,
Population 156,239.0,,
Population 157,348.0,1.0,
Population 158,481.0,,
Population 159,370.0,1.0,
Population 160,49.0,,
Population 161,913.0,2.0,
Population 162,60.0,,
Population 163,52.0,,
Population 164,253.0,,
Population 165,40.0,,
Population 166,106.0,,
Population 167,156.0,,
Population 168,160.0,,
Population 169,72.0,,
Population 170,64.0,,
Population 171,90.0,,
Population 172,28.0,,
Population 173,165.0,,
Population 174,61.0,,
Population 175,164.0,,
Population 176,113.0,,
Population 177,61.0,,
Population 178,100.0,,
Population 179,38.0,,
Population 180,26.0,,
Population 181,34.0,,
Population 182,58.0,,
Population 183,52.0,,
Population 184,46.0,,
Population 185,70.0,,
Population 186,111.0,,
Population 187,63.0,,
Population 188,2374.0,15.0,
Population 189,21.0,,
Population 190,65.0,,
Population 191,134.0,,
Population 192,19.0,,
Population 193,156.0,,
Population 194,467.0,,
Population 195,65.0,,
Population 196,1367.0,23.0,
Population 197,418.0,4.0,
Population 198,125.0,,
Population 199,35.0,,
Population 200,187.0,,
Population 201,232.0,,
Population 202,157.0,,
Population 203,14.0,,
Population 204,16.0,,
Population 205,73.0,,
Population 206,32.0,,
Population 207,46.0,,
Population 208,246.0,3.0,
Population 209,6579.0,17.0,
Population 210,4578.0,10.0,
Population 211,45.0,,
Population 212,12.0,,
Population 213,68.0,,
Population 214,130.0,,
Population 215,99.0,,
Population 216,54.0,,
Population 217,1157.0,,
Population 218,4813.0,2.0,
Population 219,81.0,,
Population 220,28.0,,
Population 221,3188.0,7.0,
Population 222,33.0,,
Population 223,387.0,1.0,
Population 224,115.0,,
Population 225,13760.0,129.0,
Population 226,37.0,,
Population 227,60.0,,
Population 228,619.0,,
Population 229,68.0,,
Population 230,1818.0,2.0,
Population 231,163.0,2.0,
Population 232,49.0,,
Population 233,190.0,,
Population 234,43.0,,
Population 235,97.0,,
Population 236,126.0,,
Population 237,94.0,,
Population 238,72.0,,
Population 239,52.0,,
Population 240,62.0,,
Population 241,108.0,,
Population 242,65.0,,
Population 243,72.0,,
Population 244,96.0,,
Population 245,64.0,,
Population 246,43.0,,
Population 247,92.0,,
Population 248,41.0,,
Population 249,86.0,3.0,
Population 250,15.0,,
Population 251,114.0,,
Population 252,27.0,,
Population 253,80.0,,
Population 254,62.0,,
Population 255,74.0,,
Population 256,42.0,,
Population 257,214.0,,
Population 258,92.0,,
Population 259,73.0,,
Population 260,85.0,,
Population 261,52.0,,
Population 262,49.0,,
Population 263,103.0,,
Population 264,307.0,,
Population 265,53.0,,
Population 266,122.0,,
Population 267,77.0,,
Population 268,1616.0,,
Population 269,65.0,,
Population 270,34.0,,
Population 271,64.0,,
Population 272,601.0,,
Population 273,48.0,,
Population 274,79.0,,
Population 275,24.0,,
Population 276,97.0,,
Population 277,198.0,1.0,
Population 278,197.0,,
Population 279,209.0,,
Population 280,22.0,,
Population 281,31.0,,
Population 282,71.0,,
Population 283,22.0,,
Population 284,42.0,,
Population 285,182.0,,
Population 286,107.0,,
Population 287,17.0,,
Population 288,19.0,,
Population 289,181.0,,
Population 290,24.0,,
Population 291,80.0,,
Population 292,16.0,,
Population 293,152.0,,
Population 294,22.0,,
Population 295,152.0,,
Population 296,24.0,,
Population 297,105.0,,
Population 298,1010.0,1.0,
Population 299,100.0,,
Population 300,41.0,,
Population 301,281.0,,
Population 302,212.0,,
Population 303,107.0,,
Population 304,94.0,,
Population 305,67.0,,
Population 306,62.0,,
Population 307,298.0,,
Population 308,192.0,,
Population 309,35.0,,
Population 310,95.0,,
Population 311,49.0,,
Population 312,817.0,2.0,
Population 313,34.0,,
Population 314,88.0,,
Population 315,39.0,,
Population 316,41.0,,
Population 317,86.0,,
Population 318,91.0,,
Population 319,52.0,,
Population 320,121.0,,
Population 321,15.0,,
Population 322,5611.0,17.0,
Population 323,215.0,,
Population 324,52.0,,
Population 325,52.0,,
Population 326,58.0,,
Population 327,358.0,,
Population 328,162.0,,
Population 329,86.0,,
Population 330,178.0,,
Population 331,47.0,,
Population 332,36.0,,
Population 333,69.0,,
Population 334,55.0,,
Population 335,310.0,,
Population 336,24.0,,
Population 337,28.0,,
Population 338,39.0,,
Population 339,61.0,,
Population 340,44.0,,
Population 341,39.0,,
Population 342,144.0,,
Population 343,106.0,,
Population 344,1045.0,1.0,
Population 345,34.0,,
Population 346,199.0,,
Population 347,30.0,,
Population 348,46.0,,
Population 349,151.0,,
Population 350,53.0,,
Population 351,57.0,,
Population 352,140.0,,
Population 353,50.0,,
Population 354,27.0,,
Population 355,196.0,,
Population 356,86.0,,
Population 357,18.0,,
Population 358,461.0,,
Population 359,55.0,,
Population 360,254.0,,
Population 361,50.0,,
Population 362,120.0,,
Population 363,108.0,,
Population 364,65.0,,
Population 365,35.0,,
Population 366,51.0,,
Population 367,59.0,,
Population 368,1079.0,9.0,
Population 369,77.0,,
Population 370,62.0,,
Population 371,44.0,,
Population 372,75.0,,
Population 373,186.0,,
Population 374,31.0,,
Population 375,70.0,,
Population 376,65.0,,
Population 377,54.0,,
Population 378,182.0,,
Population 379,112.0,,
Population 380,7097.0,33.0,
Population 381,85.0,,
Population 382,244.0,,
Population 383,189.0,,
Population 384,51.0,,
Population 385,79.0,,
Population 386,67.0,,
Population 387,75.0,,
Population 388,36.0,,
Population 389,38.0,,
Population 390,98.0,,
Population 391,52.0,,
Population 392,47.0,,
Population 393,1298.0,,
Population 394,41.0,,
Population 395,57.0,,
Population 396,459.0,,
Population 397,92.0,,
Population 398,124.0,,
Population 399,20.0,,
Population 400,85.0,,
Population 401,113.0,,
Population 402,775.0,9.0,
Population 403,33.0,,
Population 404,99.0,11.0,
Population 405,64.0,,
Population 406,1002.0,9.0,
Population 407,55.0,,
Population 408,46.0,,
Population 409,2361.0,1.0,
Population 410,166.0,,
Population 411,664.0,21.0,
Population 412,28.0,,
Population 413,77.0,,
Population 414,7599.0,49.0,
Population 415,31.0,,
Population 416,238.0,,
Population 417,139.0,,
Population 418,36.0,,
Population 419,111.0,,
Population 420,994.0,2.0,
Population 421,48.0,,
Population 422,552.0,,
Population 423,105.0,,
Population 424,40.0,,
Population 425,104.0,,
Population 426,38.0,,
Population 427,130.0,,
Population 428,89.0,,
Population 429,308.0,,
Population 430,24.0,,
Population 431,70.0,,
Population 432,48.0,,
Population 433,47.0,,
Population 434,25.0,,
Population 435,41.0,,
Population 436,26.0,,
Population 437,131.0,,
Population 438,40.0,,
Population 439,239.0,,
Population 440,632.0,,
Population 441,30.0,,
Population 442,239.0,1.0,
Population 443,27.0,,
Population 444,30.0,,
Population 445,53.0,,
Population 446,31.0,,
Population 447,31.0,,
Population 448,77.0,,
Population 449,18.0,,
Population 450,105.0,,
Population 451,125.0,,
Population 452,46.0,,
Population 453,691.0,4.0,
Population 454,70.0,,
Population 455,164.0,,
Population 456,82.0,,
Population 457,812.0,1.0,
Population 458,2791.0,2.0,
Population 459,54.0,,
Population 460,58.0,,
Population 461,40.0,,
Population 462,453.0,1.0,
Population 463,67.0,,
Population 464,44.0,,
Population 465,87.0,,
Population 466,357.0,,
Population 467,72.0,,
Population 468,34.0,,
Population 469,45.0,1.0,
Population 470,1700.0,4.0,
Population 471,260.0,,
Population 472,54.0,,
Population 473,834.0,2.0,
Population 474,285.0,,
Population 475,129.0,,
Population 476,88.0,,
Population 477,22.0,,
Population 478,37.0,,
Population 479,82.0,,
Population 480,69.0,,
Population 481,80.0,,
Population 482,11191.0,15.0,
Population 483,102.0,,
Population 484,51.0,,
Population 485,563.0,,
Population 486,136.0,,
Population 487,42.0,,
Population 488,174.0,,
Population 489,72.0,,
Population 490,46.0,,
Population 491,59.0,,
Population 492,46.0,,
Population 493,112.0,,
Population 494,129.0,,
Population 495,897.0,,
Population 496,16.0,,
Population 497,83.0,,
Population 498,31.0,,
Population 499,126.0,,
Population 500,76.0,,
Population 501,78.0,,
Population 502,1083.0,,
Population 503,151.0,,
Population 504,46.0,,
Population 505,37.0,,
Population 506,49.0,,
Population 507,55.0,,
Population 508,71.0,,
Population 509,77.0,,
Population 510,115.0,,
Population 511,47.0,,
Population 512,57.0,,
Population 513,143.0,,
Population 514,25.0,,
Population 515,43.0,,
Population 516,136.0,,
Population 517,192.0,,
Population 518,53.0,,
Population 519,68.0,,
Population 520,169.0,,
Population 521,6834.0,24.0,
Population 522,61.0,,
Population 523,168.0,,
Population 524,55.0,,
Population 525,96.0,,
Population 526,630.0,2.0,
Population 527,98.0,,
Population 528,277.0,,
Population 529,266.0,,
Population 530,114.0,6.0,
Population 531,32.0,,
Population 532,17.0,,
Population 533,41.0,,
Population 534,36.0,,
Population 535,44.0,,
Population 536,45.0,,
Population 537,71.0,,
Population 538,43.0,,
Population 539,1180.0,2.0,
Population 540,50.0,,
Population 541,22.0,,
Population 542,29.0,,
Population 543,409.0,,
Population 544,29.0,,
Population 545,492.0,,
Population 546,85.0,,
Population 547,48.0,,
Population 548,10.0,,
Population 549,57.0,,
Population 550,94.0,,
Population 551,79.0,,
Population 552,245.0,,
Population 553,7162.0,38.0,
Population 554,52.0,,
Population 555,93.0,,
Population 556,30.0,,
Population 557,182.0,,
Population 558,133.0,,
Population 559,79.0,,
Population 560,283.0,,
Population 561,3042.0,6.0,
Population 562,74.0,,
Population 563,93.0,,
Population 564,576.0,,
Population 565,90.0,,
Population 566,64.0,,
Population 567,133.0,,
Population 568,60.0,,
Population 569,75.0,1.0,
Population 570,49.0,,
Population 571,27.0,,
Population 572,200.0,,
Population 573,209.0,2.0,
Population 574,48.0,,
Population 575,46.0,,
Population 576,175.0,,
Population 577,276.0,6.0,
Population 578,42.0,,
Population 579,37.0,,
Population 580,188.0,,
Population 581,81.0,,
Population 582,179.0,,
Population 583,40.0,,
Population 584,919.0,3.0,
Population 585,328.0,,
Population 586,124.0,,
Population 587,21.0,,
Population 588,31.0,,
Population 589,196.0,,
Population 590,79.0,,
Population 591,234.0,,
Population 592,97.0,,
Population 593,28.0,,
Population 594,708.0,1.0,
Population 595,75.0,,
Population 596,55.0,1.0,
Population 597,52.0,,
Population 598,85.0,,
Population 599,62.0,,
Population 600,30.0,,
Population 601,72.0,,
Population 602,73.0,,
Population 603,352.0,1.0,
Population 604,115.0,,
Population 605,55.0,,
Population 606,27.0,,
Population 607,44.0,,
Population 608,58.0,,
Population 609,42.0,,
Population 610,97.0,,
Population 611,24.0,,
Population 612,923.0,3.0,
Population 613,47.0,,
Population 614,387.0,1.0,
Population 615,33.0,,
Population 616,302.0,,
Population 617,24.0,,
Population 618,45.0,,
Population 619,190.0,,
Population 620,31.0,,
Population 621,128.0,,
Population 622,75.0,,
Population 623,79.0,1.0,
Population 624,24.0,,
Population 625,123.0,1.0,
Population 626,157.0,,
Population 627,61.0,,
Population 628,21.0,,
Population 629,23.0,,
Population 630,51.0,,
Population 631,320.0,,
Population 632,30.0,,
Population 633,71.0,,
Population 634,25.0,,
Population 635,339.0,2.0,
Population 636,41.0,,
Population 637,79.0,,
Population 638,50.0,,
Population 639,52.0,,
Population 640,34.0,,
Population 641,2276.0,12.0,
Population 642,27.0,,
Population 643,59.0,,
Population 644,20.0,,
Population 645,116.0,1.0,
Population 646,56.0,,
Population 647,33.0,,
Population 648,25.0,,
Population 649,25.0,,
Population 650,117.0,4.0,
Population 651,53.0,,
Population 652,26.0,,
Population 653,229.0,,
Population 654,26.0,,
Population 655,52.0,,
Population 656,60.0,1.0,
Population 657,68.0,,
Population 658,24.0,,
Population 659,49.0,,
Population 660,1127.0,,
Population 661,41.0,,
Population 662,26.0,,
Population 663,424.0,,
Population 664,203.0,1.0,
Population 665,9895.0,13.0,
Population 666,86.0,,
Population 667,132.0,,
Population 668,98.0,,
Population 669,42.0,,
Population 670,1390.0,1.0,
Population 671,20.0,,
Population 672,162.0,,
Population 673,38.0,,
Population 674,61.0,,
Population 675,17.0,,
Population 676,39.0,,
Population 677,31.0,,
Population 678,62.0,2.0,
Population 679,98.0,1.0,
Population 680,2094.0,6.0,
Population 681,97.0,1.0,
Population 682,73.0,11.0,
Population 683,195.0,2.0,
Population 684,121.0,3.0,
Population 685,267.0,3.0,
Population 686,167.0,,
Population 687,90.0,,
Population 688,38.0,,
Population 689,194.0,,
Population 690,209.0,,
Population 691,85.0,,
Population 692,44.0,,
Population 693,58.0,,
Population 694,34.0,,
Population 695,64.0,,
Population 696,96.0,,
Population 697,734.0,,
Population 698,25.0,,
Population 699,49.0,,
Population 700,634.0,1.0,
Population 701,155.0,,
Population 702,23.0,,
Population 703,111.0,,
Population 704,35.0,,
Population 705,105.0,,
Population 706,54.0,,
Population 707,68.0,,
Population 708,143.0,1.0,
Population 709,36.0,,
Population 710,117.0,,
Population 711,52.0,,
Population 712,131.0,,
Population 713,521.0,3.0,
Population 714,74.0,,
Population 715,38.0,,
Population 716,121.0,,
Population 717,69.0,1.0,
Population 718,61.0,,
Population 719,222.0,1.0,
Population 720,28.0,,
Population 721,74.0,,
Population 722,456.0,1.0,
Population 723,70.0,,
Population 724,168.0,,
Population 725,96.0,,
Population 726,300.0,,
Population 727,35.0,,
Population 728,55.0,,
Population 729,117.0,,
Population 730,40.0,,
Population 731,11.0,,
Population 732,84.0,,
Population 733,45.0,,
Population 734,278.0,1.0,
Population 735,42.0,,
Population 736,32.0,,
Population 737,56.0,,
Population 738,24.0,,
Population 739,156.0,,
Population 740,429.0,3.0,
Population 741,55.0,,
Population 742,244.0,9.0,
Population 743,54.0,,
Population 744,31.0,,
Population 745,63.0,,
Population 746,282.0,,
Population 747,53.0,5.0,
Population 748,75.0,,
Population 749,117.0,,
Population 750,358.0,,
Population 751,22.0,,
Population 752,104.0,,
Population 753,9116.0,56.0,
Population 754,198.0,,
Population 755,76.0,,
Population 756,93.0,,
Population 757,2964.0,1.0,
Population 758,79.0,,
Population 759,45.0,,
Population 760,76.0,1.0,
Population 761,159.0,,
Population 762,32.0,,
Population 763,889.0,,
Population 764,301.0,1.0,
Population 765,40.0,,
Population 766,41.0,,
Population 767,85.0,,
Population 768,191.0,,
Population 769,352.0,,
Population 770,66.0,,
Population 771,49.0,,
Population 772,42.0,,
Population 773,18.0,,
Population 774,71.0,,
Population 775,87.0,,
Population 776,10382.0,59.0,
Population 777,99.0,,
Population 778,83.0,,
Population 779,26.0,,
Population 780,170.0,,
Population 781,72.0,,
Population 782,25.0,,
Population 783,271.0,,
Population 784,14.0,,
Population 785,25.0,,
Population 786,238.0,,
Population 787,188.0,,
Population 788,88.0,,
Population 789,34.0,,
Population 790,2213.0,,
Population 791,30.0,,
Population 792,41.0,,
Population 793,55.0,,
Population 794,404.0,2.0,
Population 795,101.0,,
Population 796,34.0,,
Population 797,73.0,,
Population 798,44.0,,
Population 799,18.0,,
Population 800,45.0,,
Population 801,31.0,,
Population 802,142.0,,
Population 803,3981.0,4.0,
Population 804,189.0,,
Population 805,19.0,,
Population 806,598.0,9.0,
Population 807,88.0,,
Population 808,876.0,3.0,
Population 809,11514.0,23.0,
Population 810,69.0,,
Population 811,175.0,,
Population 812,59.0,,
